learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77042.0,0.768866755,8.556952441344038E-8,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,445496.0,10.0,76941.20000000001,163.4589992764061,6550.400000000001,3846.052267513333,14.600000000000001,5.037636129950017,6.3999999999999995,4.247875285886398,6.3999999999999995,4.247875285886398,4.7,3.560586718193756,0.0,0.0,0.0,0.0,1.0,0.0
154084.0,1.45791406,1.7409339186074213E-7,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,496608.0,10.0,153902.1,373.113462040109,11589.6,9033.089236554433,25.0,7.557189365836423,9.4,7.691264886581111,9.4,7.691264886581111,5.1000000000000005,4.508017549014447,0.0,0.0,0.0,0.0,1.0,0.0
231126.0,1.989153156,2.4517538706854193E-7,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,517216.0,10.0,230818.50000000003,373.17742280165476,13615.2,11394.246626160844,34.2,9.21110440959413,11.8,10.21763181955584,11.8,10.21763181955584,5.4,4.926120853842978,0.0,0.0,0.0,0.0,1.0,0.0
308168.0,2.449819629,3.1102944492347126E-7,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,552584.0,10.0,307766.80000000005,518.1981174115646,17099.2,15634.986727066818,44.2,12.734903917100347,14.6,13.508844839174404,14.6,13.508844839174404,6.300000000000001,5.831904586934796,0.0,0.0,0.0,0.0,1.0,0.0
385210.0,2.91546623,3.78787534302589E-7,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,562480.0,10.0,384903.39999999997,385.7872758687402,18076.0,18751.298906120257,48.699999999999996,18.720458209017096,15.0,15.783254135668953,15.0,15.783254135668953,6.1,5.70477382938574,0.0,0.0,0.0,0.0,1.0,0.0
462252.0,3.382698894,4.4942112854292E-7,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,584360.0,10.0,461982.9,447.7805638181911,20229.6,22261.36465418656,58.8,21.892667468558713,17.1,18.923530326025322,17.1,18.923530326025322,5.699999999999999,6.165315167216605,0.0,0.0,0.0,0.0,1.0,0.0
539294.0,3.932919432,5.355827196291089E-7,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,605312.0,10.0,539085.8,359.8838701581352,22285.6,24231.12886442653,70.1,22.17831774003109,20.2,21.877436372258572,20.2,21.877436372258572,6.4,6.8507907086214015,0.0,0.0,0.0,0.0,1.0,0.0
616336.0,4.499991328,6.25850162228346E-7,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,615312.0,10.0,616047.8,590.2023758376823,23270.4,26808.823966912252,75.89999999999999,26.65603954912366,21.1,24.26909328526488,21.1,24.26909328526488,6.4,6.995236474439826,0.0,0.0,0.0,0.0,1.0,0.0
693378.0,5.075524081,7.217834404781709E-7,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,644320.0,10.0,693095.6999999998,631.6326376058378,26124.0,30112.227711974047,85.1,29.580211102845244,24.0,27.511613709284465,24.0,27.511613709284465,6.9,7.32499525976335,0.0,0.0,0.0,0.0,1.0,0.0
770420.0,5.651952632,8.234801988199312E-7,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,681968.0,10.0,770047.6,670.1394879674882,29833.6,34201.4079086422,94.20000000000002,31.293591818276287,26.5,30.262738364750362,26.5,30.262738364750362,7.4,7.890923055426828,0.0,0.0,0.0,0.0,1.0,0.0
847462.0,6.228253032,9.287062521373191E-7,847462.0,99.3,75.52789819605644,12.5,61.111111111111114,89.08960551130785,75.86206896551725,99.64485032978185,99.64610717896866,100.0,99.29221435793731,80.55555555555556,61.111111111111114,100.0,847462.0,705792.0,10.0,847000.3999999999,799.1296932705544,32182.4,36976.92076357299,101.69999999999999,32.98164472686117,28.1,32.343469201679646,28.1,32.343469201679646,8.0,8.589399151150083,0.0,0.0,0.0,0.0,1.0,0.0
924504.0,6.779678113,1.0325766695887968E-6,924504.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,924504.0,728128.0,10.0,924064.7,691.5881963519498,34380.8,40791.6486790563,110.99999999999999,40.653003169097694,30.1,36.43090873298539,30.1,36.43090873298539,8.6,9.335713982098827,0.0,0.0,0.0,0.0,1.0,0.0
1001546.0,7.229252716,1.1182945849929253E-6,1001546.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1001546.0,737008.0,10.0,1001153.0,806.2719419925556,35256.8,45891.37217579986,116.09999999999998,50.35970611510755,30.4,39.92270309262916,30.4,39.92270309262916,7.8,9.449279807947741,928.1052600732602,678.0195589243792,0.0,0.0,1.077031567766059,0.054525057660561066
1078588.0,7.667259166,1.2036670036716013E-6,1078588.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1078588.0,753424.0,10.0,1078328.2000000002,684.8000194703642,36873.6,47034.189633594084,123.7,50.61850781417142,31.700000000000003,41.12325646422256,31.700000000000003,41.12325646422256,8.1,9.6775800464556,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1155630.0,8.115170955,1.2930419319160053E-6,1155630.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1155630.0,771304.0,10.0,1155537.8,606.2745619308644,38630.4,48398.45107530704,133.70000000000002,51.6721502466378,34.0,43.256341860022225,34.0,43.256341860022225,8.7,9.944847912361455,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1232672.0,8.602966068,1.393959944019965E-6,1232672.0,99.9,0.0,50.0,0.0,?,?,99.94997498749373,?,?,99.9,50.0,0.0,100.0,1232672.0,799712.0,10.0,1232423.5999999999,570.7379628360501,41432.0,50988.37849288143,141.9,50.72901865139255,35.5,44.22480450305386,35.5,44.22480450305386,8.9,9.97162641364654,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1309714.0,9.078801041,1.4921967637422244E-6,1309714.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1309714.0,798032.0,10.0,1309557.7,476.938162774917,41267.2,52883.6033332744,144.8,57.05513902260592,35.1,45.98417602224101,35.1,45.98417602224101,8.4,10.156552345927015,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1386756.0,9.539070881,1.5892253139841119E-6,1386756.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1386756.0,814872.0,10.0,1386677.0,642.1341154480277,42924.8,54133.14327717047,152.5,57.59292008957737,36.6,47.29153083680934,36.6,47.29153083680934,8.6,10.276186062932103,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1463798.0,10.013157078,1.691419232163698E-6,1463798.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1463798.0,833240.0,10.0,1463871.7,719.5154310754041,44728.8,55601.55028374259,162.9,57.351644362747884,39.1,49.309566347041965,39.1,49.309566347041965,8.9,10.235558932792419,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1540840.0,10.485012759,1.7934721820118544E-6,1540840.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1540840.0,836024.0,10.0,1540936.5,760.8672318114649,45000.0,57578.39236689016,168.5,65.260588753431,39.8,52.37853674083604,39.8,52.37853674083604,8.5,10.309111396128076,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1617882.0,10.9477055,1.8959421379531607E-6,1617882.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1617882.0,856064.0,10.0,1617964.1,890.528114223361,46976.0,58760.02244912967,174.3,64.64956818623514,41.1,53.09833644600679,41.1,53.09833644600679,8.9,10.407796223131111,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1694924.0,11.414757055,2.00153102869356E-6,1694924.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1694924.0,873888.0,10.0,1695019.7,1056.2704882957173,48731.2,61076.477488473414,182.6,67.47872092576873,42.7,55.36555286858828,42.7,55.36555286858828,9.2,10.58090523327544,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1771966.0,11.886678293,2.1083214343744655E-6,1771966.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1771966.0,874712.0,10.0,1772181.1,1118.3840972084972,48809.6,64919.352011553536,188.70000000000002,75.52343271388615,43.2,58.55443810867134,43.2,58.55443810867134,8.6,10.936178491593852,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1849008.0,12.333935059,2.211289276531721E-6,1849008.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1849008.0,889912.0,10.0,1849205.7,1048.6292693056073,50305.600000000006,66566.28867727768,196.80000000000004,77.48519571863746,44.6,60.133555062414565,44.6,60.133555062414565,8.9,11.169900029394475,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
1926050.0,12.796794897,2.319502671411333E-6,1926050.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1926050.0,903720.0,10.0,1926398.7,1050.282824343567,51663.2,67821.24661654505,204.0,78.7062047532891,46.099999999999994,61.589050253361684,46.099999999999994,61.589050253361684,9.2,11.063453348751464,1025.5971519651519,594.7137645389071,0.0,0.0,1.0902273983271589,0.04955201741806838
2003092.0,13.281993265,2.4354922610423605E-6,2003092.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2003092.0,924064.0,10.0,2003322.4000000001,992.0170473445263,53664.0,70014.75552418298,212.6,80.7481681938771,48.3,64.05388356688452,48.3,64.05388356688452,9.2,11.063453348751464,1262.7751872513222,297.49958650761494,0.0,0.0,1.1148053200833237,0.017532248560451227
2080134.0,13.751287397,2.547323397199087E-6,2080134.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2080134.0,921128.0,10.0,2080282.1,952.807833021249,53374.399999999994,69978.09361856672,216.60000000000002,83.4228852160951,48.199999999999996,64.60099758431667,48.199999999999996,64.60099758431667,9.0,10.883218478209672,1262.7751872513222,297.49958650761494,0.0,0.0,1.1148053200833237,0.017532248560451227
