learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77042.0,0.697721748,8.314170167801281E-8,77042.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77042.0,478608.0,10.0,79590.7,21004.70512924822,10167.2,911.6759658270408,15.0,2.494438257849294,8.0,1.2472191289246468,8.0,1.2472191289246468,6.4,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
154084.0,1.136324199,1.4573541717345517E-7,154084.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154084.0,551648.0,10.0,136374.5,66401.73948231911,17360.799999999996,3431.6704322465966,26.599999999999998,4.195235392680604,13.799999999999999,2.097617696340302,13.799999999999999,2.097617696340302,8.6,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
231126.0,1.645523643,2.3015976025419932E-7,231126.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231126.0,640888.0,10.0,201321.99999999997,102457.71221229652,26135.199999999997,4420.85152179733,46.4,5.89161362540952,23.7,2.94580681270476,23.7,2.94580681270476,12.6,1.7126976771553508,0.0,0.0,0.0,0.0,1.0,0.0
308168.0,2.197869893,3.350987735675979E-7,308168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308168.0,734392.0,10.0,246706.09999999998,123341.1900780829,35348.799999999996,5374.21557686949,59.4,7.229568912920511,30.2,3.6147844564602556,30.2,3.6147844564602556,14.799999999999999,1.932183566158592,0.0,0.0,0.0,0.0,1.0,0.0
385210.0,2.688929243,4.392928205799643E-7,385210.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,385210.0,820184.0,10.0,310213.4000000001,129092.84344326246,43796.0,5404.705439604353,74.0,8.602325267042627,37.5,4.301162633521313,37.5,4.301162633521313,15.1,2.1317702607092643,0.0,0.0,0.0,0.0,1.0,0.0
462252.0,3.160684028,5.464663651405233E-7,462252.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,462252.0,878160.0,10.0,340936.2,143208.710214459,49496.0,6005.050318967638,87.2,7.800284895082002,44.1,3.900142447541001,44.1,3.900142447541001,16.5,1.90029237516523,0.0,0.0,0.0,0.0,1.0,0.0
539294.0,3.551572585,6.419775840979008E-7,539294.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,539294.0,944504.0,10.0,397802.19999999995,155783.2859004956,56029.6,6801.813143893652,98.39999999999999,9.240009620004614,49.699999999999996,4.620004810002307,49.699999999999996,4.620004810002307,17.0,1.8257418583505538,0.0,0.0,0.0,0.0,1.0,0.0
616336.0,3.949665281,7.443572387004583E-7,616336.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,616336.0,994104.0,10.0,435521.0,167180.0990615277,60903.200000000004,7071.97330311703,110.39999999999999,9.754770912510224,55.699999999999996,4.877385456255112,55.699999999999996,4.877385456255112,18.1,2.131770260709265,0.0,0.0,0.0,0.0,1.0,0.0
693378.0,4.354890944,8.533944354800447E-7,693378.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,693378.0,1040112.0,10.0,493818.9000000001,167764.9285561,65422.4,6839.852681974306,122.0,11.897712198383164,61.5,5.948856099191582,61.5,5.948856099191582,18.4,1.9550504398153572,0.0,0.0,0.0,0.0,1.0,0.0
770420.0,4.74710589,9.66178678031566E-7,770420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,770420.0,1111544.0,10.0,554858.3,174543.39483734252,72460.8,8765.500211371598,132.19999999999996,12.830519171967378,66.59999999999998,6.415259585983689,66.59999999999998,6.415259585983689,18.8,1.8135294011647258,0.0,0.0,0.0,0.0,1.0,0.0
847462.0,5.141122419,1.084219610247453E-6,847462.0,99.8,94.34261145055443,75.0,88.88888888888889,97.17130572527721,94.44444444444444,99.89816700610999,97.17130572527721,94.44444444444444,99.89816700610999,97.17130572527721,94.44444444444444,99.89816700610999,847462.0,1158032.0,10.0,597880.7,189365.69770570027,77031.20000000001,8653.569960811928,143.0,12.927146286443545,72.0,6.4635731432217725,72.0,6.4635731432217725,18.8,1.8135294011647258,0.0,0.0,0.0,0.0,1.0,0.0
924504.0,5.537842494,1.2065772030140919E-6,924504.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,924504.0,1192200.0,10.0,700902.5,192210.428467373,80380.0,8757.448842112766,155.2,14.619621518128758,78.1,7.309810759064379,78.1,7.309810759064379,18.8,1.8135294011647258,0.0,0.0,0.0,0.0,1.0,0.0
1001546.0,5.959391481,1.3438137906202015E-6,1001546.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1001546.0,1258416.0,10.0,742213.9,208974.40998119576,86895.2,8353.072259820203,168.20000000000002,15.668794181784094,84.60000000000001,7.834397090892047,84.60000000000001,7.834397090892047,19.599999999999994,1.9550504398153572,190.74856429463173,402.2928658836136,0.0,0.0,1.0268982134991997,0.056728793187183976
1078588.0,6.372889874,1.4845885211099088E-6,1078588.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1078588.0,1315992.0,10.0,809919.0999999999,241090.50057623588,92560.0,9720.196431485665,179.39999999999998,16.02220681151979,90.19999999999999,8.011103405759895,90.19999999999999,8.011103405759895,20.0,1.8856180831641267,190.74856429463173,402.2928658836136,0.0,0.0,1.0268982134991997,0.056728793187183976
1155630.0,6.791214402,1.6319030771809055E-6,1155630.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1155630.0,1361240.0,10.0,856320.5,249732.50579381041,97006.40000000001,10098.715465070018,190.60000000000002,18.89855961589548,95.80000000000001,9.44927980794774,95.80000000000001,9.44927980794774,20.8,1.6193277068654826,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1232672.0,7.224888972,1.7951028312767902E-6,1232672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1232672.0,1454648.0,10.0,914930.4,260248.025485177,106209.6,12307.535281733344,204.20000000000002,22.35471613179942,102.60000000000001,11.17735806589971,102.60000000000001,11.17735806589971,22.2,1.9888578520235063,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1309714.0,7.659402224,1.961114573514257E-6,1309714.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1309714.0,1476856.0,10.0,948507.7,274042.8218679417,108392.0,12613.221704932404,209.79999999999998,21.892667468558713,105.39999999999999,10.946333734279357,105.39999999999999,10.946333734279357,22.5,2.1213203435596424,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1386756.0,8.112407261,2.140080993301906E-6,1386756.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1386756.0,1527112.0,10.0,1041509.6000000001,286114.08552463824,113324.79999999999,12978.197484841867,224.20000000000005,24.516661001585557,112.60000000000002,12.258330500792779,112.60000000000002,12.258330500792779,22.599999999999998,2.065591117977289,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1463798.0,8.549541962,2.3178366620347214E-6,1463798.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1463798.0,1571848.0,10.0,1112011.7,299815.0065360861,117721.59999999999,12688.667377712381,235.4,25.695654626155505,118.2,12.847827313077753,118.2,12.847827313077753,22.7,2.1628170930011112,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1540840.0,8.998293489,2.50850115040978E-6,1540840.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1540840.0,1642352.0,10.0,1164729.8,305701.88331473817,124659.2,13384.92429563948,249.2,28.851343122981287,125.1,14.425671561490644,125.1,14.425671561490644,22.7,2.1628170930011112,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1617882.0,9.449005485,2.7052203909320653E-6,1617882.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1617882.0,1687136.0,10.0,1245883.2000000002,310372.72644633794,129061.60000000002,14499.191235682378,259.40000000000003,29.841060451815196,130.20000000000002,14.920530225907598,130.20000000000002,14.920530225907598,22.999999999999996,2.403700850309326,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1694924.0,9.897548405,2.9043283164352696E-6,1694924.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1694924.0,1715880.0,10.0,1282142.2,320803.79833225167,131872.0,14749.150845613676,272.2,33.242543023461174,136.6,16.621271511730587,136.6,16.621271511730587,22.999999999999996,2.403700850309326,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1771966.0,10.354320602,3.114600871469685E-6,1771966.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1771966.0,1779448.0,10.0,1344193.5999999999,335692.8851939258,138125.6,16430.151167222342,284.8,34.012416033625776,142.9,17.006208016812888,142.9,17.006208016812888,23.599999999999998,2.3664319132398464,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1849008.0,10.811890081,3.3309204873571443E-6,1849008.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1849008.0,1827432.0,10.0,1382872.4,346331.73843527545,142842.4,16980.346725945656,296.0,34.79782879561438,148.5,17.39891439780719,148.5,17.39891439780719,23.900000000000002,2.558211180579985,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
1926050.0,11.267280148,3.552230317611169E-6,1926050.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1926050.0,1878536.0,10.0,1454126.8,334679.6937941975,147874.40000000002,17085.4950515212,304.8,37.17167380322459,152.9,18.585836901612296,152.9,18.585836901612296,24.4,2.6749870196985173,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
2003092.0,11.728942528,3.782306780528944E-6,2003092.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2003092.0,1926416.0,10.0,1515644.2999999998,358408.34488116426,152580.8,17353.560382686763,315.6,38.80492523149891,158.3,19.402462615749457,158.3,19.402462615749457,24.4,2.6749870196985173,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
2080134.0,12.210661075,4.028884748713296E-6,2080134.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2080134.0,1978624.0,10.0,1571020.7999999998,364005.1481411889,157710.39999999997,20052.14741174179,328.79999999999995,40.52379273683277,164.89999999999998,20.261896368416384,164.89999999999998,20.261896368416384,24.7,2.7100635498903793,278.6566102716432,449.2825747222026,0.0,0.0,1.0414798034573587,0.06687889411709565
2157176.0,12.705019005,4.288711689001484E-6,2157176.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2157176.0,2031632.0,10.0,1631050.7,373250.2699068906,162925.6,19255.0134262338,339.40000000000003,44.659700949389354,170.20000000000002,22.329850474694677,170.20000000000002,22.329850474694677,25.2,2.973961069759395,361.63019517730356,468.31686217677037,0.0,0.0,1.0569185276099269,0.07371043326319493
2234218.0,13.200278807,4.5541878266027495E-6,2234218.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2234218.0,2072024.0,10.0,1701891.6,388480.1342537636,166899.2,20252.591322813205,347.8,45.482108814590184,174.4,22.741054407295092,174.4,22.741054407295092,25.4,2.913569784454954,361.63019517730356,468.31686217677037,0.0,0.0,1.0569185276099269,0.07371043326319493
2311260.0,13.682652725,4.817624518040746E-6,2311260.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2311260.0,2111032.0,10.0,1746735.7,401880.5805164431,170734.4,21001.108728403422,357.0,46.168772515148774,179.0,23.084386257574387,179.0,23.084386257574387,25.599999999999998,2.7968235951204043,361.63019517730356,468.31686217677037,0.0,0.0,1.0569185276099269,0.07371043326319493
2388302.0,14.173715379,5.092273105244161E-6,2388302.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2388302.0,2161936.0,10.0,1892769.8,454554.3450056452,175729.59999999998,21315.47345735279,372.3999999999999,47.54459894550475,186.69999999999996,23.772299472752376,186.69999999999996,23.772299472752376,25.8,2.5298221281347035,361.63019517730356,468.31686217677037,0.0,0.0,1.0569185276099269,0.07371043326319493
