learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
38622.0,0.619957165,5.8588683657751727E-8,38622.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,38622.0,381568.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,3235.516666666667,10710.10938200492,245.93333333333328,118.12994791261677
77244.0,1.074239038,1.0342231521439427E-7,77244.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,77244.0,381488.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,6449.0166666666655,21430.671302764054,245.26666666666668,116.71928065315723
115866.0,1.499629209,1.4540899144782375E-7,115866.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,115866.0,381528.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,9676.516666666677,32147.37284559455,245.59999999999994,117.42720970810784
154488.0,1.859190391,1.8091684709560954E-7,154488.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,154488.0,381728.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,12899.46666666667,42865.32442016435,247.26666666666668,120.89079267463421
193110.0,2.201109763,2.1466836290570183E-7,193110.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,193110.0,381568.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,16108.591666666665,53587.35819539228,245.93333333333328,118.12994791261677
231732.0,2.537739671,2.4792561324509067E-7,231732.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,231732.0,381888.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,19325.416666666668,64307.17022198523,248.5999999999999,123.57547280504971
270354.0,2.830634791,2.7683482039692084E-7,270354.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270354.0,381528.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,22546.266666666663,75025.77871254712,245.59999999999994,117.42720970810784
308976.0,3.123298764,3.05736355453593E-7,308976.0,99.8,74.90589711417825,80.0,60.0,88.8492417484389,74.99999999999999,99.8995983935743,99.89969909729189,100.0,99.79939819458376,80.0,60.0,100.0,308976.0,381728.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,25760.466666666678,85746.3694337813,247.26666666666668,120.89079267463421
347598.0,3.41777072,3.348133876055686E-7,347598.0,99.5,28.4487693188333,58.333333333333336,16.666666666666664,73.61616801224208,28.57142857142857,99.7491219267436,99.74974974974975,100.0,99.4994994994995,58.333333333333336,16.666666666666664,100.0,347598.0,381688.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,0.99,0.8,0.7,28984.291666666668,96464.09011503163,246.93333333333337,120.20792443944457
386220.0,3.712456712,3.6390850488634984E-7,386220.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,386220.0,381648.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,32199.716666666664,107184.31608491666,246.6,119.52021733975047
424842.0,4.005390343,3.928306069909864E-7,424842.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,424842.0,381648.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,35425.46666666667,117901.46602141502,246.6,119.52021733975047
