learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
38622.0,0.165942853,1.0696666314241786E-8,38622.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,38622.0,259328.0,2.0
77244.0,0.305747684,2.007594021913492E-8,77244.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,77244.0,259328.0,2.0
115866.0,0.405728003,2.6797317389214617E-8,115866.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,115866.0,259864.0,3.0
154488.0,0.483383557,3.2017867523541466E-8,154488.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,154488.0,259864.0,3.0
193110.0,0.557275221,3.699562869778317E-8,193110.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,193110.0,260400.0,4.0
231732.0,0.62653961,4.1661670408818043E-8,231732.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,231732.0,260400.0,4.0
270354.0,0.694932526,4.626900476060601E-8,270354.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270354.0,260400.0,4.0
308976.0,0.770336418,5.13695497292839E-8,308976.0,99.8,74.90589711417825,80.0,60.0,88.8492417484389,74.99999999999999,99.8995983935743,99.89969909729189,100.0,99.79939819458376,80.0,60.0,100.0,308976.0,261472.0,6.0
347598.0,0.853335374,5.698384756196497E-8,347598.0,99.5,28.4487693188333,58.333333333333336,16.666666666666664,73.61616801224208,28.57142857142857,99.7491219267436,99.74974974974975,100.0,99.4994994994995,58.333333333333336,16.666666666666664,100.0,347598.0,261472.0,6.0
386220.0,0.937285012,6.267409312851935E-8,386220.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,386220.0,262008.0,7.0
424842.0,1.02608721,6.869325325247108E-8,424842.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,424842.0,262008.0,7.0
463464.0,1.141392572,7.650884174756914E-8,463464.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,463464.0,262008.0,7.0
502086.0,1.247347383,8.36906344022064E-8,502086.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,502086.0,262008.0,7.0
540708.0,1.338220986,8.986279864875808E-8,540708.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,540708.0,262544.0,8.0
579330.0,1.434709676,9.641634140434366E-8,579330.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,579330.0,262544.0,8.0
617952.0,1.530470753,1.0292046445172282E-7,617952.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,617952.0,262544.0,8.0
656574.0,1.626419994,1.0943736765830054E-7,656574.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,656574.0,262544.0,8.0
695196.0,1.722729296,1.1597872632342081E-7,695196.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,695196.0,262544.0,8.0
733818.0,1.82171196,1.2271538588344223E-7,733818.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,733818.0,263080.0,9.0
772440.0,1.924415203,1.2970526427064298E-7,772440.0,99.8,66.57754010695179,75.0,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,772440.0,263080.0,9.0
811062.0,2.02843582,1.3678480179402564E-7,811062.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,811062.0,263080.0,9.0
849684.0,2.133390402,1.439424574049645E-7,849684.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,849684.0,263616.0,10.0
888306.0,2.254308296,1.5223907406970443E-7,888306.0,99.7,39.903846153846054,62.5,25.0,76.878612716763,40.0,99.84962406015038,99.84984984984985,100.0,99.69969969969969,62.5,25.0,100.0,888306.0,265224.0,13.0
926928.0,2.399578095,1.6220656354042597E-7,926928.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,926928.0,265224.0,13.0
965550.0,2.574770985,1.74275770907044E-7,965550.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,965550.0,266296.0,15.0
1004172.0,2.724347756,1.8460099995066928E-7,1004172.0,99.8,66.57754010695179,66.66666666666666,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,1004172.0,266832.0,16.0
1042794.0,2.874836706,1.9498919637245642E-7,1042794.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1042794.0,266832.0,16.0
1081416.0,3.03353624,2.0596617220958694E-7,1081416.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1081416.0,267368.0,17.0
1120038.0,3.199478064,2.1746709497002056E-7,1120038.0,99.7,39.903846153846054,62.5,25.0,76.878612716763,40.0,99.84962406015038,99.84984984984985,100.0,99.69969969969969,62.5,25.0,100.0,1120038.0,267904.0,18.0
1158660.0,3.376311292,2.2979642877972582E-7,1158660.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1158660.0,269512.0,21.0
1197282.0,3.562876697,2.4283018847961187E-7,1197282.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,1197282.0,270048.0,22.0
1235904.0,3.758814384,2.565458803180274E-7,1235904.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,1235904.0,270584.0,23.0
1274526.0,3.969164213,2.71299593910935E-7,1274526.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1274526.0,271120.0,24.0
1313148.0,4.186492589,2.865729109098638E-7,1313148.0,99.6,0.0,50.0,0.0,?,?,99.79959919839679,?,?,99.6,50.0,0.0,100.0,1313148.0,271656.0,25.0
1351770.0,4.410837529,3.024948775637605E-7,1351770.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,1351770.0,274336.0,30.0
1390392.0,4.669170972,3.2086486096540054E-7,1390392.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1390392.0,274872.0,31.0
1429014.0,4.940668152,3.4024620575926164E-7,1429014.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1429014.0,275944.0,33.0
1467636.0,5.222122006,3.603773541452632E-7,1467636.0,99.9,0.0,50.0,0.0,?,?,99.94997498749373,?,?,99.9,50.0,0.0,100.0,1467636.0,276480.0,34.0
1506258.0,5.510049245,3.8105136515276505E-7,1506258.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,1506258.0,277552.0,36.0
1544880.0,5.804912152,4.022233772423263E-7,1544880.0,99.8,66.57754010695179,75.0,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,1544880.0,277552.0,36.0
1583502.0,6.098404171,4.232969555966825E-7,1583502.0,99.8,66.57754010695179,75.0,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,1583502.0,277552.0,36.0
1622124.0,6.416400334,4.4617409706168704E-7,1622124.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,1622124.0,278088.0,37.0
1660746.0,6.745339668,4.6992973118231114E-7,1660746.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,1660746.0,279160.0,39.0
1699368.0,7.059748149,4.92635963204588E-7,1699368.0,99.9,0.0,50.0,0.0,?,?,99.94997498749373,?,?,99.9,50.0,0.0,100.0,1699368.0,279160.0,39.0
1737990.0,7.382026674,5.159552493768662E-7,1737990.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,1737990.0,279696.0,40.0
1776612.0,7.706644522,5.394438032423188E-7,1776612.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1776612.0,279696.0,40.0
1815234.0,8.028643443,5.627428579527244E-7,1815234.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1815234.0,279696.0,40.0
1853856.0,8.35233315,5.861642538045079E-7,1853856.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1853856.0,279696.0,40.0
1892478.0,8.673485935,6.09402084182561E-7,1892478.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1892478.0,279696.0,40.0
1931100.0,9.000017298,6.330743733241741E-7,1931100.0,99.6,33.222036727879065,60.0,20.0,74.94362315209221,33.333333333333336,99.79939819458374,99.7997997997998,100.0,99.5995995995996,60.0,20.0,100.0,1931100.0,280232.0,41.0
1969722.0,9.341105357,6.578492643767017E-7,1969722.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,1969722.0,280768.0,42.0
2008344.0,9.681125805,6.825466096297983E-7,2008344.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2008344.0,280768.0,42.0
2046966.0,10.029025709,7.079127603374671E-7,2046966.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2046966.0,281840.0,44.0
2085588.0,10.387315798,7.340364823912623E-7,2085588.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2085588.0,281840.0,44.0
2124210.0,10.743766511,7.600260914766789E-7,2124210.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,2124210.0,281840.0,44.0
2162832.0,11.111696874,7.870057628362647E-7,2162832.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2162832.0,283448.0,47.0
2201454.0,11.494217173,8.151083295807802E-7,2201454.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,2201454.0,283984.0,48.0
2240076.0,11.883209889,8.4368640450412E-7,2240076.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,2240076.0,283984.0,48.0
2278698.0,12.267839623,8.719972789598526E-7,2278698.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,2278698.0,284520.0,49.0
2317320.0,12.664153245,9.012231064217973E-7,2317320.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2317320.0,285056.0,50.0
2355942.0,13.07390395,9.315755242843782E-7,2355942.0,99.7,57.02005730659082,70.0,40.0,82.30192908972921,57.14285714285715,99.84947315604616,99.8496993987976,100.0,99.6993987975952,70.0,40.0,100.0,2355942.0,286336.0,52.0
2394564.0,13.494191826,9.62708486544757E-7,2394564.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2394564.0,286336.0,52.0
2433186.0,13.910064572,9.93514396602315E-7,2433186.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2433186.0,286336.0,52.0
