learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,1.322735918,1.3615438014609946E-7,38622.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,38622.0,418704.0,10.0,0.0,231574.0,408.59814542462505,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,2.219595742,2.3369115187310511E-7,77244.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,77244.0,420384.0,10.0,0.0,463388.5,413.14007578813107,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,2.985855681,3.173577402841755E-7,115866.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,115866.0,422064.0,10.0,0.0,695047.2,938.090590271298,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,3.69993707,3.9523689379935255E-7,154488.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,154488.0,421576.0,10.0,0.0,926730.7,847.2575431617278,1416.8000000000002,149.25950555994748,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,4.412841325,4.7338750843773074E-7,193110.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,193110.0,423744.0,10.0,0.0,1158333.5999999999,905.6308053260749,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,178.79999999999998,287.8953513576302,0.0,0.0,1.0684563758389263,0.11022523699562431
231732.0,5.121705151,5.511465470315122E-7,231732.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,231732.0,424024.0,10.0,0.0,1389842.7999999998,1003.2293190824577,1492.0,19.321835661585915,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,178.79999999999998,287.8953513576302,0.0,0.0,1.0684563758389263,0.11022523699562431
270354.0,5.832370054,6.288722403334061E-7,270354.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270354.0,422768.0,10.0,0.0,1621504.0999999999,1119.8012174786477,1369.6,199.01267407993,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,178.79999999999998,287.8953513576302,0.0,0.0,1.0684563758389263,0.11022523699562431
308976.0,6.542663781,7.066470096793026E-7,308976.0,99.8,74.90589711417825,80.0,60.0,88.8492417484389,74.99999999999999,99.8995983935743,99.89969909729189,100.0,99.79939819458376,80.0,60.0,100.0,308976.0,423256.0,10.0,0.0,1853101.9,1109.326367165626,1416.8000000000002,149.2595055599475,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,178.79999999999998,287.8953513576302,0.0,0.0,1.0684563758389263,0.11022523699562431
347598.0,7.25635562,7.851941442905243E-7,347598.0,99.5,28.4487693188333,58.333333333333336,16.666666666666664,73.61616801224208,28.57142857142857,99.7491219267436,99.74974974974975,100.0,99.4994994994995,58.333333333333336,16.666666666666664,100.0,347598.0,425424.0,10.0,0.0,2084971.5,1019.5310741272672,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,298.0,314.119580910059,0.0,0.0,1.1140939597315436,0.1202655933397369
386220.0,7.970647523,8.638073204412561E-7,386220.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,386220.0,425424.0,10.0,0.0,2316714.6999999997,860.2097999908061,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,298.0,314.119580910059,0.0,0.0,1.1140939597315436,0.1202655933397369
424842.0,8.691942205,9.43100144361477E-7,424842.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,424842.0,424936.0,10.0,0.0,2548442.3,1018.2594135746286,1416.8000000000002,149.2595055599475,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,298.0,314.119580910059,0.0,0.0,1.1140939597315436,0.1202655933397369
463464.0,9.422492526,1.0235026812382622E-6,463464.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,463464.0,425424.0,10.0,0.0,2780272.3,1172.6389090897023,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,298.0,314.119580910059,0.0,0.0,1.1140939597315436,0.1202655933397369
502086.0,10.173739315,1.1061830194981354E-6,502086.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,502086.0,425424.0,10.0,0.0,3012168.6999999997,1171.0607774340697,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
540708.0,10.890053593,1.185018773171376E-6,540708.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,540708.0,425424.0,10.0,0.0,3243941.6999999997,949.2940125284204,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
579330.0,11.604353198,1.2636327969849193E-6,579330.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,579330.0,425424.0,10.0,0.0,3475763.1999999997,1214.5760851699104,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
617952.0,12.320571955,1.3424580378563662E-6,617952.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,617952.0,425424.0,10.0,0.0,3707245.0999999996,1543.576615094531,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
656574.0,13.037563636,1.4216799617234577E-6,656574.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,656574.0,427104.0,10.0,0.0,3938841.4,1581.5115975968604,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
695196.0,13.772849195,1.5029232147754688E-6,695196.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,695196.0,427104.0,10.0,0.0,4170585.7,1642.8810094194614,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
733818.0,14.560271862,1.5899272069128561E-6,733818.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,733818.0,427104.0,10.0,0.0,4402198.399999999,1952.4359827319563,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
772440.0,15.390821292,1.6816963661024678E-6,772440.0,99.8,66.57754010695179,75.0,50.0,85.67745631624175,66.66666666666666,99.89969909729189,99.89979959919839,100.0,99.79959919839679,75.0,50.0,100.0,772440.0,427104.0,10.0,0.0,4633861.5,1874.8428230416862,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
