learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.788879535,8.700006492755687E-8,38622.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,38622.0,441816.0,9522.0,6963.396361610395,1396.8,212.5050587633151,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,1.375299408,1.5394907700486481E-7,77244.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,77244.0,441304.0,13344.0,8441.958698469607,1347.2,253.52133375056755,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,1.804650781,2.0304801015174843E-7,115866.0,90.4,3.622199020159078,-2299.9999999999973,-4699.9999999999945,66.43356643356644,3.9999999999999996,94.94736842105263,51.02040816326531,2.0408163265306123,100.0,95.19038076152304,100.0,90.38076152304609,115866.0,442040.0,8365.999999999998,4927.24849969816,1418.3999999999999,144.1998613036781,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,2.168073773,2.4453843604081E-7,154488.0,84.3,0.8663147526077395,-3824.9999999999973,-7749.9999999999945,57.50218763767063,1.257861635220126,91.47202607278653,50.25915935655946,0.6369426751592357,99.88137603795967,67.18436873747495,50.0,84.3687374749499,154488.0,441304.0,6438.0,5565.019716447054,1347.2,253.52133375056755,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,2.511806278,2.837830186500421E-7,193110.0,98.7,23.149680775597194,-116.66666666666667,-333.33333333333337,67.56109887899146,23.52941176470588,99.34442763489663,57.09214720370907,14.285714285714285,99.89858012170384,82.73152791708458,66.66666666666666,98.79638916750251,193110.0,441328.0,6760.0,3887.6585355312377,1349.6,245.74024226134932,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,2.88519153,3.2647956819374737E-7,231732.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,231732.0,442016.0,9182.0,7402.889826127212,1412.8,219.0305914706893,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,3.242600711,3.67334462408351E-7,270354.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270354.0,441856.0,7304.0,4591.356613851243,1396.8,212.5050587633151,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,3.583980708,4.0635708523352323E-7,308976.0,99.8,74.90589711417825,80.0,60.0,88.8492417484389,74.99999999999999,99.8995983935743,99.89969909729189,100.0,99.79939819458376,80.0,60.0,100.0,308976.0,441856.0,10076.0,8739.438069909173,1396.8,212.5050587633151,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,3.919237841,4.446957714363105E-7,347598.0,90.4,2.904765757747377,-699.9999999999991,-1499.9999999999982,55.88577966610156,4.0,94.94736842105263,50.843079235357656,2.127659574468085,99.55849889624724,62.03890006706908,33.33333333333333,90.74446680080483,347598.0,442040.0,8448.0,9635.149771078346,1418.3999999999999,144.1998613036781,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,4.269167998,4.846921288239439E-7,386220.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,386220.0,441816.0,7120.0,3907.258203224694,1396.8,212.50505876331508,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
