learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3862.0,0.149273597,1.491828247394206E-8,3862.0,100.0,100.0,100.0,100.0,3862.0,407240.0,10.0,3843.1,81.22048181749888,1002.4000000000001,193.99152329705316,2.5999999999999996,0.8432740427115677,1.7999999999999998,0.42163702135578385,1.7999999999999998,0.42163702135578385,0.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
7724.0,0.297992188,3.083465932004361E-8,7724.0,99.9,85.66513761467886,87.5,75.0,7724.0,413696.0,10.0,7696.3,80.55232943731531,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11586.0,0.424898834,4.4471802349175435E-8,11586.0,100.0,100.0,100.0,100.0,11586.0,415376.0,10.0,11559.300000000001,78.42200654861549,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15448.0,0.514205896,5.4068566714105096E-8,15448.0,99.9,0.0,50.0,0.0,15448.0,415376.0,10.0,15462.199999999999,91.85955463520298,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19310.0,0.600295683,6.331960892245794E-8,19310.0,100.0,?,?,?,19310.0,415376.0,10.0,19317.7,78.82618008419944,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23172.0,0.675257965,7.140749083612322E-8,23172.0,99.9,66.62216288384631,75.0,50.0,23172.0,417056.0,10.0,23139.899999999998,91.10488461108984,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27034.0,0.750688796,7.954592575967106E-8,27034.0,99.8,74.90589711417825,80.0,60.0,27034.0,417056.0,10.0,26995.0,107.46782464223087,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30896.0,0.828134728,8.790177534159481E-8,30896.0,99.9,66.62216288384631,75.0,50.0,30896.0,417056.0,10.0,30841.4,99.45652316464678,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34758.0,0.90562477,9.626238406987448E-8,34758.0,99.9,0.0,50.0,0.0,34758.0,417056.0,10.0,34723.0,104.22198531126837,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38620.0,0.97432242,1.0367435801360137E-7,38620.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,38620.0,417056.0,10.0,38545.200000000004,129.66520993183298,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
