learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.415329783,3.995534095331406E-8,38622.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,38622.0,389856.0,10.0,41586.00000000001,8601.896806325138,1418.4,144.19986130367812,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,0.695053886,6.816720236213878E-8,77244.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,77244.0,389856.0,10.0,80388.40000000002,11007.011201956686,1418.4,144.19986130367812,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,0.919904228,9.084704106184965E-8,115866.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,115866.0,389896.0,10.0,117062.6,11934.664462071076,1422.4,131.55075066300458,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,1.128646206,1.1192541622709277E-7,154488.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,154488.0,390328.0,10.0,155209.69999999998,20036.746348480166,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,1.374943138,1.368011178982113E-7,193110.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,90.8883826879271,80.0,99.94987468671678,99.94989979959921,100.0,99.8997995991984,83.33333333333333,66.66666666666666,100.0,193110.0,390408.0,10.0,191533.0,21896.63815393688,1472.0,16.86548085423138,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,1.543789588,1.5385615882457338E-7,231732.0,99.9,88.83928571428567,90.0,80.0,94.71430836724984,88.8888888888889,99.94977398292315,99.94979919678715,100.0,99.8995983935743,90.0,80.0,100.0,231732.0,390448.0,10.0,225209.5,16857.71172853012,1476.0,19.32183566158591,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,1.712153365,1.7085721864898172E-7,270354.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270354.0,390328.0,10.0,263050.3,19737.421969728242,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,1.866905137,1.8648376362548934E-7,308976.0,99.8,74.90589711417825,80.0,60.0,88.8492417484389,74.99999999999999,99.8995983935743,99.89969909729189,100.0,99.79939819458376,80.0,60.0,100.0,308976.0,390328.0,10.0,296883.0,26442.663880764958,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,2.014882612,2.0138888962670954E-7,347598.0,99.5,28.4487693188333,58.333333333333336,16.666666666666664,73.61616801224208,28.57142857142857,99.7491219267436,99.74974974974975,100.0,99.4994994994995,58.333333333333336,16.666666666666664,100.0,347598.0,389352.0,10.0,391600.5,55200.279047704506,1369.6000000000001,199.01267407993004,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,2.157331077,2.1577306963569174E-7,386220.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,79.96794871794872,50.0,99.8997995991984,99.8998998998999,100.0,99.7997997997998,66.66666666666666,33.33333333333333,100.0,386220.0,390328.0,10.0,419558.0,56072.70970802106,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
