learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
38622.0,0.764423266,7.233312590417349E-8,38622.0,99.9,66.62216288384631,50.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38622.0,382032.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,2556.1499999999996,8447.247851402566,249.66666666666683,122.78404443830419
77244.0,1.312886144,1.265160804888399E-7,77244.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77244.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,5769.65,19167.52316979703,248.33333333333337,120.09361427851279
115866.0,1.815401844,1.7615988765126714E-7,115866.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115866.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,8997.15,29884.172293339223,248.33333333333337,120.09361427851279
154488.0,2.248401184,2.1893613471462908E-7,154488.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154488.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,12220.100000000002,40602.092027982246,248.33333333333337,120.09361427851279
193110.0,2.660259523,2.596238504607313E-7,193110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193110.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,15429.224999999999,51324.10273975949,248.33333333333337,120.09361427851279
231732.0,3.106414982,3.036997978810014E-7,231732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231732.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,18646.04999999998,62043.90364960536,248.33333333333337,120.09361427851279
270354.0,3.499897822,3.426006902015251E-7,270354.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,270354.0,382152.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,0.99,0.8,0.7,21866.899999999998,72762.50475929932,250.66666666666666,124.7543693065073
308976.0,3.888008898,3.8094240054917423E-7,308976.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308976.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,25081.099999999988,83483.08916356914,248.33333333333337,120.09361427851279
347598.0,4.271284303,4.188063922531572E-7,347598.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347598.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,28304.92500000001,94200.80600737823,248.33333333333337,120.09361427851279
386220.0,4.757728756,4.668625119325312E-7,386220.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386220.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,31520.34999999998,104921.02811896351,248.33333333333337,120.09361427851279
424842.0,5.147712645,5.053892385242962E-7,424842.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,424842.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,34746.10000000002,115638.1758762647,248.33333333333337,120.09361427851279
463464.0,5.441980507,5.344601252552536E-7,463464.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,463464.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,37960.99999999997,126358.55093051873,248.33333333333337,120.09361427851279
502086.0,5.733355004,5.632451748390123E-7,502086.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,502086.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,41178.525,137078.15767839734,248.33333333333337,120.09361427851279
540708.0,6.024901327,5.920471992094484E-7,540708.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,540708.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,44399.37499999999,147796.77382112853,248.33333333333337,120.09361427851279
579330.0,6.315817912,6.207870114105237E-7,579330.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,579330.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,47613.92499999999,158517.2602582048,248.33333333333337,120.09361427851279
617952.0,6.607232533,6.49576024866692E-7,617952.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,617952.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,50832.14999999998,169236.65617046098,248.33333333333337,120.09361427851279
656574.0,6.898613097,6.783616738127753E-7,656574.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,656574.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,54053.87499999997,179955.00125050228,248.33333333333337,120.09361427851279
695196.0,7.193139646,7.074581163771989E-7,695196.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,695196.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,57263.525,190676.97205972444,248.33333333333337,120.09361427851279
733818.0,7.487053221,7.364940028972013E-7,733818.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,733818.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,60484.02500000001,201395.68107623115,248.33333333333337,120.09361427851279
772440.0,7.781358974,7.655686329012488E-7,772440.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,772440.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,57601.399999999965,202076.9156855417,248.33333333333337,120.09361427851279
811062.0,8.079822654,7.950540268400022E-7,811062.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,811062.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,60807.89999999996,212278.73879606277,248.33333333333337,120.09361427851279
849684.0,8.375205061,8.242350200951016E-7,849684.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,849684.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,64030.15000000003,222525.0365116211,248.33333333333337,120.09361427851279
888306.0,8.667858149,8.531463823991268E-7,888306.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,888306.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,67246.45000000004,232815.54970393845,248.33333333333337,120.09361427851279
