learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.535153915,5.145712629560794E-8,38622.0,99.9,66.62216288384631,50.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38622.0,389672.0,10.0,38546.4,129.95828390508802,1468.0,12.649110640673513,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,0.917035267,8.995003223979637E-8,77244.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77244.0,389632.0,10.0,77143.89999999998,161.00065562323763,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,1.215373196,1.2002192179511816E-7,115866.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115866.0,389632.0,10.0,115745.7,347.81669821265785,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,1.506773811,1.4939454343932368E-7,154488.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154488.0,389632.0,10.0,154307.0,367.8580644155515,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,1.739290984,1.7283182735963825E-7,193110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193110.0,389632.0,10.0,192901.6,342.0422975793087,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,1.961073901,1.951871189165529E-7,231732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231732.0,389632.0,10.0,231411.7,381.58355718126836,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,2.164575675,2.1571234146580098E-7,270354.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,270354.0,389872.0,10.0,270002.1,484.6264196952968,1488.0,20.655911179772882,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,2.387922658,2.3822528786790038E-7,308976.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308976.0,389632.0,10.0,308573.0,521.6676251322183,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,2.583031684,2.5789190250448055E-7,347598.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347598.0,389632.0,10.0,347267.60000000003,460.1314304992972,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,2.779361659,2.776815864524411E-7,386220.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386220.0,389632.0,10.0,385902.8,377.0363377713103,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
