learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.589458451,6.075821960469916E-8,38622.0,99.9,66.62216288384631,50.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38622.0,416664.0,10.0,36190.1,3781.3224744202325,1426.3999999999999,133.5491586561959,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,1.17594168,1.2421632473036855E-7,77244.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77244.0,418248.0,10.0,74787.6,3806.6127316669454,1416.8000000000002,149.25950555994754,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,1.671853754,1.7815267398498333E-7,115866.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115866.0,420416.0,10.0,113389.4,4079.6272487678193,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,2.16931749,2.3225778497770636E-7,154488.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154488.0,420416.0,10.0,151950.69999999998,4036.498924398055,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,2.602084658,2.795144610812453E-7,193110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193110.0,422096.0,10.0,190545.3,3975.799795149539,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,3.012196876,3.2429729509727204E-7,231732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231732.0,422096.0,10.0,229055.4,3904.1640220553077,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,3.435855012,3.7058121658289805E-7,270354.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,270354.0,422296.0,10.0,267645.8,3909.8379847081437,1484.0,21.0818510677892,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,3.951417029,4.268788034845371E-7,308976.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308976.0,422096.0,10.0,306216.69999999995,3933.819943063567,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,4.357765954,4.714273051695919E-7,347598.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347598.0,423776.0,10.0,344911.30000000005,3917.3963589778773,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,4.755804982,5.150647832546528E-7,386220.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386220.0,423776.0,10.0,383546.5,3899.2420702262443,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
