learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.637750817,6.196632434203393E-8,38622.0,99.9,66.62216288384631,50.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38622.0,393576.0,10.0,38546.4,129.95828390508802,1408.8,214.2795681658271,3.0,0.0,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,1.039020193,1.0281462254174053E-7,77244.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77244.0,393496.0,10.0,77143.89999999998,161.00065562323763,1400.8,225.1541694039886,3.4000000000000004,1.2649110640673518,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,1.367244324,1.3622708305162894E-7,115866.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115866.0,393496.0,10.0,115745.7,347.81669821265785,1400.8,225.1541694039886,3.7999999999999994,2.5298221281347035,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,1.741835855,1.7435963807963247E-7,154488.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154488.0,393496.0,10.0,154307.0,367.8580644155515,1400.8,225.1541694039886,4.199999999999999,3.794733192202055,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,2.021252943,2.0280365403343817E-7,193110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193110.0,393496.0,10.0,192901.6,342.0422975793087,1400.8,225.1541694039886,4.5,4.743416490252569,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,2.30388214,2.3157465528472634E-7,231732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231732.0,393496.0,10.0,231411.7,381.58355718126836,1400.8,225.1541694039886,4.7,5.375872022286244,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,2.600376661,2.617785915185573E-7,270354.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,270354.0,393776.0,10.0,270002.1,484.6264196952968,1428.8,221.74099004619478,4.8999999999999995,6.00832755431992,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,2.945128784,2.968735635437485E-7,308976.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308976.0,393496.0,10.0,308573.0,521.6676251322183,1400.8,225.1541694039886,5.3,7.273238618387272,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,3.323015317,3.353415421857002E-7,347598.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347598.0,393496.0,10.0,347267.60000000003,460.1314304992972,1400.8,225.1541694039886,5.7,8.538149682454625,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,3.591549193,3.626776722261123E-7,386220.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386220.0,393496.0,10.0,385902.8,377.0363377713103,1400.8,225.1541694039886,6.1,9.803060746521975,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
424842.0,3.851998815,3.8915796312076143E-7,424842.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,424842.0,393008.0,10.0,424506.2,422.0997249202796,1353.6,255.9388815930692,6.4,10.751744044572488,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
463464.0,4.113692487,4.157977761495838E-7,463464.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,463464.0,393496.0,10.0,463198.6,440.07883132204387,1400.8,225.1541694039886,6.8999999999999995,12.332882874656681,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
502086.0,4.371403078,4.4203212070716754E-7,502086.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,502086.0,393496.0,10.0,501904.10000000003,350.9480651669738,1400.8,225.1541694039886,7.2,13.281566172707192,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
540708.0,4.573192431,4.62573812044385E-7,540708.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,540708.0,393496.0,10.0,540505.7,371.99015817328024,1400.8,225.1541694039886,7.699999999999999,14.862705002791383,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
579330.0,4.770372881,4.826214344392365E-7,579330.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,579330.0,393008.0,10.0,579150.9,434.21383620925315,1353.6,255.93888159306923,7.900000000000002,15.49516053482506,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
617952.0,4.96776553,5.027155514365476E-7,617952.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,617952.0,393496.0,10.0,617671.6000000001,584.053308069272,1400.8,225.1541694039886,8.4,17.07629936490925,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
656574.0,5.169889841,5.232913407266284E-7,656574.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,656574.0,393496.0,10.0,656246.4,599.0190499660458,1400.8,225.1541694039886,8.499999999999998,17.392527130926087,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
695196.0,5.374188359,5.440884592812777E-7,695196.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,695196.0,393496.0,10.0,694906.0,613.499434030343,1400.8,225.1541694039886,8.8,18.3412104289766,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
733818.0,5.572852878,5.64312049714985E-7,733818.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,733818.0,393496.0,10.0,733478.6999999998,702.7242307224465,1400.8,225.1541694039886,9.0,18.973665961010276,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
772440.0,5.775532386,5.849443567808344E-7,772440.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,772440.0,393496.0,10.0,772072.7999999998,662.9955253745425,1400.8,225.1541694039886,9.200000000000001,19.60612149304395,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
811062.0,5.974118874,6.05160003838477E-7,811062.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,811062.0,393496.0,10.0,810642.1000000001,753.7125078200748,1400.8,225.1541694039886,9.400000000000002,20.23857702507763,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
849684.0,6.215276002,6.297117394924867E-7,849684.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,849684.0,393536.0,10.0,849235.2,788.1160095090346,1404.8,212.5050587633151,9.7,21.18726032312814,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
888306.0,6.445350159,6.53132758726165E-7,888306.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,888306.0,393496.0,10.0,887810.6,719.8903002850125,1400.8,225.1541694039886,10.1,22.45217138719549,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
926928.0,6.650663692,6.740332034698459E-7,926928.0,99.8,79.90353697749187,60.0,66.66666666666666,90.8675799086758,80.0,99.89949748743719,99.8995983935743,100.0,99.79919678714859,83.33333333333333,66.66666666666666,100.0,926928.0,393496.0,10.0,926502.5,690.5425001000542,1400.8,225.1541694039886,10.399999999999999,23.400854685246006,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
965550.0,6.857788643,6.951180463935372E-7,965550.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,965550.0,393496.0,10.0,965100.2000000001,667.1940913673903,1400.8,225.1541694039886,10.5,23.717082451262844,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
