learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.382283829,3.7042897761240606E-8,38622.0,99.9,66.62216288384631,50.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38622.0,389856.0,10.0,56587.2,13188.34881249355,1418.3999999999999,144.1998613036781,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,0.656573003,6.474010638564412E-8,77244.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77244.0,390328.0,10.0,92100.6,34250.97392354137,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,0.851326426,8.438135655639073E-8,115866.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115866.0,389840.0,10.0,134723.1,41194.45837987327,1416.8000000000002,149.25950555994748,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,1.049868962,1.0442981111336914E-7,154488.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154488.0,390328.0,10.0,168885.5,47475.52532796943,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,1.294285426,1.2911052926175296E-7,193110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193110.0,390328.0,10.0,213404.1,54821.13849288024,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,1.507840485,1.506749203591566E-7,231732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231732.0,390328.0,10.0,251817.19999999998,61313.11361419078,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,1.686047192,1.6867174496386819E-7,270354.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,270354.0,390368.0,10.0,289708.6,67695.75004254123,1468.0,12.649110640673511,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,1.860751341,1.8629098802269952E-7,308976.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308976.0,389840.0,10.0,328584.60000000003,73924.29305595165,1416.8000000000002,149.2595055599475,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,2.035170313,2.0390349013165258E-7,347598.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347598.0,390328.0,10.0,361703.1,79348.28701987768,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,2.208813381,2.2143764290349142E-7,386220.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386220.0,390328.0,10.0,405925.30000000005,86486.42831623931,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
424842.0,2.411804234,2.4193528020501547E-7,424842.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,424842.0,390328.0,10.0,438257.0999999999,90814.37157367893,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
463464.0,2.592350686,2.601665238028392E-7,463464.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,463464.0,390328.0,10.0,494634.19999999995,100297.39339894243,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
502086.0,2.747823359,2.758658640162253E-7,502086.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,502086.0,390328.0,10.0,525267.2000000001,104382.1831623258,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
540708.0,2.899658466,2.91197889607172E-7,540708.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,540708.0,390328.0,10.0,566597.7000000001,110445.61808827004,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
579330.0,3.048424654,3.0622002148793383E-7,579330.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,579330.0,390328.0,10.0,598207.2999999998,114525.82882093552,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
617952.0,3.195670048,3.2108858643027636E-7,617952.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,617952.0,390328.0,10.0,642263.3,120764.51276674325,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
656574.0,3.334939653,3.351517710921809E-7,656574.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,656574.0,390328.0,10.0,662410.3,122667.38507131118,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
695196.0,3.477249108,3.4950394813873074E-7,695196.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,695196.0,389840.0,10.0,708504.0,127951.41924791438,1416.8,149.25950555994748,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
733818.0,3.617566861,3.6367297282852227E-7,733818.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,733818.0,390328.0,10.0,741899.6000000001,131620.47064293103,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
772440.0,3.761493798,3.782064461793895E-7,772440.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,772440.0,390328.0,10.0,789639.4,137614.00728139724,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
811062.0,3.904941646,3.9267343230791177E-7,811062.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,811062.0,389840.0,10.0,824024.6000000001,141317.21765682576,1416.8000000000002,149.25950555994748,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
849684.0,4.045414559,4.0685812476478097E-7,849684.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,849684.0,390328.0,10.0,868704.7000000001,146739.3808325571,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
888306.0,4.183082749,4.207596015302257E-7,888306.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,888306.0,390328.0,10.0,901183.2,150017.21684363805,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
926928.0,4.325738256,4.3516468825376895E-7,926928.0,99.8,79.90353697749187,60.0,66.66666666666666,90.8675799086758,80.0,99.89949748743719,99.8995983935743,100.0,99.79919678714859,83.33333333333333,66.66666666666666,100.0,926928.0,390328.0,10.0,960401.2,158391.00871843845,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
965550.0,4.46742777,4.4947223080792147E-7,965550.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,965550.0,390328.0,10.0,995516.9,161933.14927974308,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
1004172.0,4.605861317,4.634509918941143E-7,1004172.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1004172.0,390328.0,10.0,1027194.2,165079.99155816686,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
1042794.0,4.747060262,4.777089977066612E-7,1042794.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1042794.0,390328.0,10.0,1070789.4000000001,170278.00032508932,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,59.60000000000001,188.4717485460354,0.0,0.0,1.0228187919463088,0.0721593560038422
