learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
38612.0,5.94196065,1.9905004955213518E-6,38612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38612.0,1311160.0,20.0,20.0,20.0,0.0,100.0,100.0,8.0,1.0,0.8,0.7,457.1166666666665,1723.2113863577006,4769.200000000003,8359.080591154256
77224.0,11.779158844,4.025868706516123E-6,77224.0,99.9,79.95188452285525,75.0,50.0,90.8883826879271,80.0,99.94987468671678,83.33333333333333,66.66666666666666,100.0,99.94989979959921,100.0,99.8997995991984,77224.0,1347848.0,20.0,20.0,20.0,0.0,100.0,100.0,10.0,0.799,0.8,0.7,960.783333333333,5177.808501386549,5074.666666666665,8520.954431621512
115836.0,17.832780409,6.236040765906507E-6,115836.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115836.0,1411280.0,20.0,20.0,20.0,0.0,100.0,100.0,13.0,0.48429629629629634,0.8,0.7,692.2666666666665,2813.8856735399713,5602.866666666669,8853.022890595084
154448.0,24.080848846,8.585558679916E-6,154448.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154448.0,1453568.0,20.0,20.0,20.0,0.0,100.0,100.0,15.0,1.0,0.8,0.7,634.2333333333337,2237.739727482887,5954.999999999996,9050.36716837239
193060.0,30.487707457,1.1057678525730649E-5,193060.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193060.0,1491512.0,20.0,20.0,20.0,0.0,100.0,100.0,16.0,1.0,0.8,0.7,575.7083333333335,2097.470426853883,6271.066666666669,9351.56394571584
231672.0,36.946840473,1.3543191219310706E-5,231672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231672.0,1487456.0,20.0,20.0,20.0,0.0,100.0,100.0,17.0,1.0,0.8,0.7,863.4833333333335,3924.5917520027438,6237.133333333335,9125.154892603496
270284.0,43.615401845,1.616775546256464E-5,270284.0,99.9,90.85923217550278,90.0,80.0,95.62917959701038,90.9090909090909,99.94972347913524,91.66666666666667,83.33333333333334,100.0,99.94974874371859,100.0,99.89949748743719,270284.0,1521344.0,20.0,20.0,20.0,0.0,100.0,100.0,19.0,0.5162258652094718,0.8,0.7,906.7666666666672,3336.2752282867123,6519.266666666666,9190.564104936471
308896.0,50.231349719,1.875244310010077E-5,308896.0,99.7,0.0,-Infinity,-Infinity,?,?,99.849774661993,50.0,0.0,100.0,?,?,99.7,308896.0,1510144.0,20.0,20.0,20.0,0.0,100.0,100.0,19.0,1.0,0.8,0.7,664.6250000000002,2879.055079763311,6425.933333333329,9051.972439061828
347508.0,57.059245149,2.149957602557003E-5,347508.0,99.9,79.95188452285525,75.0,50.0,90.8883826879271,80.0,99.94987468671678,83.33333333333333,66.66666666666666,100.0,99.94989979959921,100.0,99.8997995991984,347508.0,1555232.0,20.0,20.0,20.0,0.0,100.0,100.0,21.0,0.6404444444444445,0.8,0.7,923.3083333333337,3716.083154798255,6801.399999999999,9246.91597045771
386120.0,64.090892456,2.4407896956174396E-5,386120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,386120.0,1598776.0,20.0,20.0,20.0,0.0,100.0,100.0,22.0,0.8778798798798798,0.8,0.7,403.8750000000001,1462.8639779067441,7164.133333333337,9576.482285101501
