learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
38612.0,1.627416384,1.521375404159228E-7,38612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38612.0,371520.0,5.0
77224.0,3.724759254,3.421461517129093E-7,77224.0,99.7,57.02005730659082,25.0,-50.0,82.30192908972921,57.14285714285715,99.84947315604616,70.0,40.0,100.0,99.8496993987976,100.0,99.6993987975952,77224.0,350192.0,4.0
115836.0,5.42979253,4.966135063938879E-7,115836.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115836.0,350192.0,4.0
154448.0,7.196964553,6.664608092531645E-7,154448.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154448.0,371520.0,5.0
193060.0,9.360024539,8.982275546913263E-7,193060.0,99.8,83.2355406538139,77.77777777777779,60.0,92.26485148514853,83.33333333333333,99.89939637826961,85.71428571428572,71.42857142857143,100.0,99.89949748743719,100.0,99.79899497487436,193060.0,414176.0,7.0
231672.0,11.806233508,1.1738301682762346E-6,231672.0,99.9,79.95188452285525,75.0,50.0,90.8883826879271,80.0,99.94987468671678,83.33333333333333,66.66666666666666,100.0,99.94989979959921,100.0,99.8997995991984,231672.0,435504.0,8.0
270284.0,14.655552996,1.5105706240583832E-6,270284.0,99.7,76.78018575851378,70.0,40.0,89.59453366168361,76.92307692307693,99.84901862103673,81.25,62.5,100.0,99.84924623115579,100.0,99.69849246231156,270284.0,456832.0,9.0
308896.0,17.622670076,1.8918260036856971E-6,308896.0,99.6,0.0,-Infinity,-Infinity,?,?,99.79959919839679,50.0,0.0,100.0,?,?,99.6,308896.0,496688.0,11.0
347508.0,21.164960798,2.3690982149154236E-6,347508.0,99.8,66.57754010695179,50.0,0.0,85.67745631624175,66.66666666666666,99.89969909729189,75.0,50.0,100.0,99.89979959919839,100.0,99.79959919839679,347508.0,520816.0,12.0
386120.0,24.82988212,2.903336029348775E-6,386120.0,99.8,74.90589711417825,66.66666666666666,33.33333333333333,88.8492417484389,74.99999999999999,99.8995983935743,80.0,60.0,100.0,99.89969909729189,100.0,99.79939819458376,386120.0,563472.0,14.0
