learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,3.642540825,3.4480758484558512E-6,38612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38612.0,3680192.0,10.0,0.0,231515.1,405.2344863025476,326788.0,48510.04968961472,19.6,3.1340424729448424,10.3,1.5670212364724212,10.3,1.5670212364724212,4.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,6.153022094,6.51792779930378E-6,77224.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77224.0,4726752.0,10.0,0.0,463265.2,409.8766210025086,431200.80000000005,55691.28690837653,25.6,3.272783388968954,13.3,1.636391694484477,13.3,1.636391694484477,6.3,0.4830458915396478,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,8.366229174,9.298994396388482E-6,115836.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115836.0,4857264.0,10.0,0.0,694875.4,939.2270107794911,444072.8,50992.05514761861,26.799999999999997,3.32665998663324,13.899999999999999,1.66332999331662,13.899999999999999,1.66332999331662,6.3999999999999995,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,10.663897406,1.2508229204467884E-5,154448.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154448.0,5399040.0,10.0,0.0,926484.4,851.5173646040334,498212.0,84900.07036772376,30.0,5.270462766947299,15.5,2.6352313834736494,15.5,2.6352313834736494,7.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,13.070061203,1.6048182177370113E-5,193060.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193060.0,5686888.0,10.0,0.0,1158028.7,911.5492368002914,526800.8,79540.52240881164,33.4,4.402019738458447,17.2,2.2010098692292237,17.2,2.2010098692292237,7.5,0.5270462766947299,9702.799999999997,15642.047726134408,0.0,0.0,1.0011997661887815,0.0019344562788030204
231672.0,15.43129163,1.9941156634763527E-5,231672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231672.0,6373024.0,10.0,0.0,1389479.5,993.3896236847067,595371.2000000001,88530.53418868168,35.800000000000004,4.732863826479694,18.400000000000002,2.366431913239847,18.400000000000002,2.366431913239847,7.9,0.316227766016838,9702.799999999997,15642.047726134408,0.0,0.0,1.0011997661887815,0.0019344562788030204
270284.0,17.83847957,2.3913388864407586E-5,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,6378624.0,10.0,0.0,1621086.0,1116.6478605381433,595931.2,89030.08200328196,35.800000000000004,4.732863826479694,18.400000000000002,2.366431913239847,18.400000000000002,2.366431913239847,7.9,0.316227766016838,9702.799999999997,15642.047726134408,0.0,0.0,1.0011997661887815,0.0019344562788030204
308896.0,20.41689825,2.8569175304588903E-5,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,6979784.0,10.0,0.0,1852621.1,1111.5155269570107,656007.2,102533.26137492055,39.4,6.586180818788517,20.2,3.2930904093942583,20.2,3.2930904093942583,8.2,0.632455532033676,9702.799999999997,15642.047726134408,0.0,0.0,1.0011997661887815,0.0019344562788030204
347508.0,22.974569053,3.342735100683989E-5,347508.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,347508.0,7342280.0,10.0,0.0,2084434.0999999999,1010.334977453834,692062.4,136082.16267404205,41.60000000000001,8.113089560840693,21.300000000000004,4.056544780420347,21.300000000000004,4.056544780420347,8.399999999999999,0.5163977794943225,16271.683692307692,17172.85835350555,0.0,0.0,1.0019833179829347,0.002093567867787128
386120.0,25.593245908,3.846118334636185E-5,386120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,386120.0,7430520.0,10.0,0.0,2316121.4,864.5834192771292,700882.3999999999,141077.77191574548,41.800000000000004,8.337332373793858,21.400000000000002,4.168666186896929,21.400000000000002,4.168666186896929,8.399999999999999,0.5163977794943225,16271.683692307692,17172.85835350555,0.0,0.0,1.0019833179829347,0.002093567867787128
424732.0,28.233389265,4.360975002558411E-5,424732.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,424732.0,7538088.0,10.0,0.0,2547785.8,1022.3190195715495,711632.0,145255.76351923373,42.39999999999999,8.540101482613267,21.699999999999996,4.270050741306633,21.699999999999996,4.270050741306633,8.399999999999999,0.5163977794943225,16271.683692307692,17172.85835350555,0.0,0.0,1.0019833179829347,0.002093567867787128
463344.0,30.955978813,4.926518384824686E-5,463344.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,463344.0,8029456.0,10.0,0.0,2779542.4,1172.1820298533569,760734.4,141865.15376636913,45.0,8.110350040397625,23.0,4.055175020198813,23.0,4.055175020198813,8.5,0.5270462766947299,16271.683692307692,17172.85835350555,0.0,0.0,1.0019833179829347,0.002093567867787128
501956.0,33.605561575,5.4778189477294955E-5,501956.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,501956.0,8042912.0,10.0,0.0,3011382.1999999993,1181.8571825732924,762080.0,140885.07727616545,45.0,8.110350040397625,23.0,4.055175020198813,23.0,4.055175020198813,8.5,0.5270462766947299,22987.968783216784,15891.29109873586,0.0,0.0,1.0027497159919165,0.0019015103654101205
540568.0,36.234005689,6.039500686548338E-5,540568.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,540568.0,8260264.0,10.0,0.0,3243091.5000000005,946.5365227442405,783798.4,149040.93549178584,46.400000000000006,8.591985930052623,23.700000000000003,4.295992965026311,23.700000000000003,4.295992965026311,8.5,0.5270462766947299,22987.968783216784,15891.29109873586,0.0,0.0,1.0027497159919165,0.0019015103654101205
579180.0,38.72306117,6.573920131832105E-5,579180.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,579180.0,8299464.0,10.0,0.0,3474864.5,1224.782270900081,787714.3999999999,155737.92034568844,47.0,9.428090415820634,24.0,4.714045207910317,24.0,4.714045207910317,8.700000000000001,0.8232726023485645,22987.968783216784,15891.29109873586,0.0,0.0,1.0027497159919165,0.0019015103654101205
617792.0,41.233750919,7.110690526759303E-5,617792.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,617792.0,8264144.0,10.0,0.0,3706285.3000000003,1534.1613018193293,784183.2,152220.43064275788,47.2,9.727395449051212,24.1,4.863697724525606,24.1,4.863697724525606,8.700000000000001,0.8232726023485645,22987.968783216784,15891.29109873586,0.0,0.0,1.0027497159919165,0.0019015103654101205
656404.0,43.819972985,7.676800950466152E-5,656404.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,656404.0,8461312.0,10.0,0.0,3937825.0,1571.356243645762,803884.0000000001,178266.1640581297,48.8,10.685400216078841,24.9,5.342700108039421,24.9,5.342700108039421,8.700000000000001,0.8232726023485645,22987.968783216784,15891.29109873586,0.0,0.0,1.0027497159919165,0.0019015103654101205
695016.0,46.462735179,8.292901842890402E-5,695016.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,695016.0,9011480.0,10.0,0.0,4169518.5,1650.2393934079985,858693.6000000001,191318.86075995982,51.8,11.78322725081904,26.4,5.89161362540952,26.4,5.89161362540952,8.700000000000001,0.8232726023485645,25970.088783216786,13752.228660607565,0.0,0.0,1.0031816234939621,0.0016858292996781879
733628.0,48.964489043,8.876182609208845E-5,733628.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,733628.0,9012296.0,10.0,0.0,4401058.1,1964.9442994650235,858772.8,191428.53719501235,52.4,12.65086733961132,26.7,6.32543366980566,26.7,6.32543366980566,8.700000000000001,0.8232726023485645,25970.088783216786,13752.228660607565,0.0,0.0,1.0031816234939621,0.0016858292996781879
772240.0,51.513987918,9.494544377538827E-5,772240.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,772240.0,9375408.0,10.0,0.0,4632649.8,1873.1713927631868,895064.0,203043.27471310698,53.0,12.788884062167252,27.0,6.394442031083626,27.0,6.394442031083626,8.700000000000001,0.8232726023485645,25970.088783216786,13752.228660607565,0.0,0.0,1.0031816234939621,0.0016858292996781879
810852.0,53.995574594,1.0102888332467169E-4,810852.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,810852.0,9475936.0,10.0,0.0,4864162.3,1893.3847440203417,905105.6,217085.24617619175,54.599999999999994,13.72103008766713,27.799999999999997,6.860515043833565,27.799999999999997,6.860515043833565,8.799999999999999,0.9189365834726815,25970.088783216786,13752.228660607565,0.0,0.0,1.0031816234939621,0.0016858292996781879
849464.0,56.572207304,1.0760714238033769E-4,849464.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,849464.0,9868720.0,10.0,0.0,5095776.2,1937.1376248934691,944358.4,252908.30888824337,56.199999999999996,15.866106432686415,28.599999999999998,7.9330532163432075,28.599999999999998,7.9330532163432075,8.799999999999999,0.9189365834726815,29482.008607392614,10421.624221490425,0.0,0.0,1.0035407082905619,0.001252682934058801
888076.0,59.156508757,1.1422989332484603E-4,888076.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,888076.0,9905984.0,10.0,0.0,5327254.300000001,1883.4153403975413,948083.2,257623.246603252,56.199999999999996,15.866106432686415,28.599999999999998,7.9330532163432075,28.599999999999998,7.9330532163432075,8.799999999999999,0.9189365834726815,29482.008607392614,10421.624221490425,0.0,0.0,1.0035407082905619,0.001252682934058801
926688.0,61.686389181,1.2074965850852984E-4,926688.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,926688.0,9961720.0,10.0,0.0,5559152.7,1796.41482774258,953651.2000000001,260132.29518193667,56.800000000000004,16.42356031234803,28.900000000000002,8.211780156174015,28.900000000000002,8.211780156174015,8.799999999999999,0.9189365834726815,29482.008607392614,10421.624221490425,0.0,0.0,1.0035407082905619,0.001252682934058801
965300.0,64.217971117,1.2729709245472837E-4,965300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,965300.0,9997272.0,10.0,0.0,5790798.5,1844.952649196708,957201.6000000001,260169.36656092148,57.6,16.547574511759187,29.3,8.273787255879594,29.3,8.273787255879594,8.799999999999999,0.9189365834726815,29482.008607392614,10421.624221490425,0.0,0.0,1.0035407082905619,0.001252682934058801
1003912.0,66.75601351,1.3388679495719745E-4,1003912.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1003912.0,1.00362E7,10.0,0.0,6022711.9,2094.2869616596818,961091.2,257620.12200775172,58.0,16.579773487261185,29.5,8.289886743630593,29.5,8.289886743630593,8.799999999999999,0.9189365834726815,29482.008607392614,10421.624221490425,0.0,0.0,1.0035407082905619,0.001252682934058801
