learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3858.0,1.004177289,2.9632327125612027E-7,3858.0,99.6,0.0,50.0,0.0,3858.0,1158656.0,10.0,3839.0,81.18565828464476,77722.4,15456.184977038949,4.0,1.0540925533894596,2.5,0.5270462766947299,2.5,0.5270462766947299,1.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
7716.0,1.506721204,4.884778703698826E-7,7716.0,99.9,66.62216288384631,75.0,50.0,7716.0,1478016.0,10.0,7687.4,80.96391514468378,109638.40000000001,27013.089778434784,5.4,1.5776212754932308,3.2,0.7888106377466154,3.2,0.7888106377466154,2.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
11574.0,1.816009999,6.173183778076681E-7,11574.0,99.8,0.0,50.0,0.0,11574.0,1610240.0,10.0,11547.3,78.00719340049496,122851.2,36281.82491061391,6.2,2.14993539954628,3.6,1.07496769977314,3.6,1.07496769977314,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
15432.0,2.041849464,7.123779150157897E-7,15432.0,100.0,100.0,100.0,100.0,15432.0,1627040.0,10.0,15447.5,91.54992566293485,124531.2,37867.91231753988,6.2,2.14993539954628,3.6,1.07496769977314,3.6,1.07496769977314,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
19290.0,2.282973431,8.178202855797381E-7,19290.0,100.0,100.0,100.0,100.0,19290.0,1690352.0,10.0,19295.0,77.73744986241255,130857.6,45605.74541582818,6.6,2.6331223544175333,3.8,1.3165611772087666,3.8,1.3165611772087666,2.6,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
23148.0,2.543093212,9.426157447760262E-7,23148.0,100.0,100.0,100.0,100.0,23148.0,1854504.0,10.0,23115.0,91.20428839820117,147260.8,32821.98617051957,7.6,1.8973665961010278,4.3,0.9486832980505139,4.3,0.9486832980505139,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
27006.0,2.808011345,1.080251683184339E-6,27006.0,100.0,100.0,100.0,100.0,27006.0,2008272.0,10.0,26968.4,108.36173986544607,162624.8,30316.229481179806,8.8,1.7511900715418263,4.9,0.8755950357709131,4.9,0.8755950357709131,3.0999999999999996,0.5676462121975469,0.0,0.0,0.0,0.0,1.0,0.0
30864.0,3.046207949,1.2087520114491715E-6,30864.0,99.9,79.95188452285525,83.33333333333334,66.66666666666666,30864.0,2085312.0,10.0,30810.0,98.812954616285,170324.8,27522.142345553133,9.0,1.632993161855452,5.0,0.816496580927726,5.0,0.816496580927726,3.1999999999999997,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
34722.0,3.358367352,1.3878310399917927E-6,34722.0,100.0,?,?,?,34722.0,2217536.0,10.0,34689.200000000004,107.3227738076954,183537.59999999998,32707.288767014747,9.800000000000002,1.9321835661585915,5.400000000000001,0.9660917830792958,5.400000000000001,0.9660917830792958,3.6,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
38580.0,3.625156394,1.548325040572832E-6,38580.0,99.8,49.924887330997116,66.66666666666666,33.33333333333333,38580.0,2325376.0,10.0,38507.6,129.8838797627413,194313.6,27335.267001521028,10.600000000000001,1.5776212754932306,5.800000000000001,0.7888106377466153,5.800000000000001,0.7888106377466153,3.6999999999999997,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
