learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,3.122872177,2.158647802052223E-6,38612.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38612.0,2692888.0,10.0,38537.100000000006,128.80428736825633,228300.8,49362.15622158785,12.399999999999999,2.6749870196985177,6.699999999999999,1.3374935098492589,6.699999999999999,1.3374935098492589,4.7,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,5.180515548,3.866459557675033E-6,77224.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77224.0,3208280.0,10.0,77122.8,158.89045842270704,279632.0,61487.74556861807,16.0,4.346134936801766,8.5,2.173067468400883,8.5,2.173067468400883,5.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,6.998823393,5.517558685913052E-6,115836.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115836.0,3510008.0,10.0,115719.7,347.148719331258,309617.5999999999,93223.22867802615,17.2,5.533734925185902,9.1,2.766867462592951,9.1,2.766867462592951,5.4,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,8.909210719,7.68448569443737E-6,154448.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154448.0,4384552.0,10.0,154265.0,369.8702475193161,397009.6,105856.2860939302,22.4,6.2574400161372346,11.7,3.1287200080686173,11.7,3.1287200080686173,6.199999999999999,1.475729574745244,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,10.7337808,9.832800097067215E-6,193060.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193060.0,4551344.0,10.0,192849.80000000002,345.09959914977435,413525.6,109902.03340470498,23.4,6.5183501661761705,12.2,3.2591750830880852,12.2,3.2591750830880852,6.4,1.5055453054181622,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,12.628331912,1.2165187453407454E-5,231672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231672.0,4758792.0,10.0,231349.5,378.5927891547836,434237.5999999999,110466.30299195822,25.0,6.92820323027551,13.0,3.464101615137755,13.0,3.464101615137755,6.6000000000000005,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,14.506298083,1.4589310199786371E-5,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,4989640.0,10.0,269932.7,484.7269678214068,457307.19999999995,126274.14680835417,26.0,7.4981479194679945,13.5,3.7490739597339973,13.5,3.7490739597339973,6.7,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,16.413714931,1.7160102335271284E-5,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,5209832.0,10.0,308491.8,522.2704280351321,479312.0,132662.47481484732,27.200000000000003,7.857056276579247,14.100000000000001,3.9285281382896233,14.100000000000001,3.9285281382896233,6.7,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,18.313945183,1.9803528318160843E-5,347508.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,347508.0,5377288.0,10.0,347177.1,455.91481904212856,495995.19999999995,133451.03131594337,28.200000000000003,7.8993670632525985,14.600000000000001,3.9496835316262993,14.600000000000001,3.9496835316262993,6.9,1.5238839267549948,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,20.202031173,2.2484461835620975E-5,386120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,386120.0,5488664.0,10.0,385804.0,381.5800483952667,507024.80000000005,127903.90284098276,28.799999999999997,7.568942389058654,14.899999999999999,3.784471194529327,14.899999999999999,3.784471194529327,7.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0
424732.0,22.189599774,2.5413233185184743E-5,424732.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,424732.0,5695944.0,10.0,424398.2,424.0154085250519,527736.7999999999,148489.28387881885,30.4,8.745792639257397,15.7,4.3728963196286985,15.7,4.3728963196286985,7.199999999999999,1.6865480854231356,0.0,0.0,0.0,0.0,1.0,0.0
463344.0,24.189592953,2.856491323070525E-5,463344.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,463344.0,6091384.0,10.0,463076.39999999997,441.25155334948903,567236.0,146215.6281295995,32.599999999999994,8.884443332777431,16.799999999999997,4.442221666388716,16.799999999999997,4.442221666388716,7.5,1.509230856356236,0.0,0.0,0.0,0.0,1.0,0.0
501956.0,26.132668448,3.1722649343721505E-5,501956.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,501956.0,6281864.0,10.0,501769.4,352.97661238230427,586269.6,141730.52736262887,33.8,8.547904226573124,17.4,4.273952113286562,17.4,4.273952113286562,7.7,1.4944341180973262,0.0,0.0,0.0,0.0,1.0,0.0
540568.0,28.043262701,3.4862487154615705E-5,540568.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,540568.0,6352448.0,10.0,540358.7,371.7083833090422,593323.2000000001,145980.9531174073,34.199999999999996,8.854377448471462,17.599999999999998,4.427188724235731,17.599999999999998,4.427188724235731,7.7,1.4944341180973262,0.0,0.0,0.0,0.0,1.0,0.0
579180.0,29.97816509,3.814225652194369E-5,579180.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,579180.0,6552192.0,10.0,579001.5,439.05384382531213,613284.0,166808.15652852363,35.2,9.863513009515874,18.1,4.931756504757937,18.1,4.931756504757937,7.800000000000001,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
617792.0,31.915999552,4.149678756776635E-5,617792.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,617792.0,6691408.0,10.0,617513.5,582.4111281751234,627195.2000000001,167872.66722449686,36.199999999999996,10.119288512538814,18.599999999999998,5.059644256269407,18.599999999999998,5.059644256269407,7.9,1.3703203194062978,0.0,0.0,0.0,0.0,1.0,0.0
656404.0,33.901448866,4.500165851185065E-5,656404.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,656404.0,6823632.0,10.0,656078.2000000001,600.4157448523954,640407.9999999999,176666.65869685521,36.99999999999999,10.583005244258365,18.999999999999996,5.291502622129182,18.999999999999996,5.291502622129182,8.1,1.5238839267549946,0.0,0.0,0.0,0.0,1.0,0.0
695016.0,35.875032085,4.857559348243158E-5,695016.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,695016.0,6999928.0,10.0,694730.6,616.6964317140887,657957.6,188076.81063697825,38.199999999999996,11.32156251485535,19.599999999999998,5.660781257427675,19.599999999999998,5.660781257427675,8.2,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
733628.0,37.812639553,5.213569348401118E-5,733628.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,733628.0,7102296.0,10.0,733289.0,707.7140037551367,668120.8,187907.6138181858,38.599999999999994,11.266469426281391,19.799999999999997,5.633234713140696,19.799999999999997,5.633234713140696,8.2,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
772240.0,39.778344982,5.586246543291645E-5,772240.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,772240.0,7328528.0,10.0,771865.2000000001,662.2011778908317,690711.2000000001,190289.22373925667,39.8,11.242775458044157,20.4,5.621387729022079,20.4,5.621387729022079,8.299999999999999,1.6363916944844772,0.0,0.0,0.0,0.0,1.0,0.0
810852.0,41.704992824,5.954958759278681E-5,810852.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,810852.0,7397544.0,10.0,810427.5,763.4166257322578,697624.0,191821.6408970699,40.4,11.077504733066519,20.7,5.538752366533259,20.7,5.538752366533259,8.5,1.7795130420052185,0.0,0.0,0.0,0.0,1.0,0.0
849464.0,43.668532023,6.340486501384756E-5,849464.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,849464.0,7589592.0,10.0,849021.7000000001,786.9294829342094,716796.8,194966.9565603361,41.8,11.554700823089757,21.4,5.777350411544878,21.4,5.777350411544878,8.5,1.7795130420052185,0.0,0.0,0.0,0.0,1.0,0.0
888076.0,45.608266039,6.729559109950616E-5,888076.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,888076.0,7753376.0,10.0,887576.8999999999,715.6511331958163,733148.0,206939.1957674739,42.400000000000006,12.18560170401482,21.700000000000003,6.09280085200741,21.700000000000003,6.09280085200741,8.6,2.0655911179772892,0.0,0.0,0.0,0.0,1.0,0.0
926688.0,47.524592077,7.115311166354786E-5,926688.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,926688.0,7781104.0,10.0,926253.3,688.093186518607,735917.6,211704.3506293099,42.800000000000004,12.52375520538646,21.900000000000002,6.26187760269323,21.900000000000002,6.26187760269323,8.7,2.057506581601462,0.0,0.0,0.0,0.0,1.0,0.0
