learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,3.172291709,1.639838227292171E-6,38612.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38612.0,2013728.0,10.0,38537.100000000006,128.80428736825633,162721.6,93241.91956077362,13.8,4.3410188256265885,4.7,2.7100635498903793,4.7,2.7100635498903793,3.2,2.2997584414213783,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,5.293976067,2.9190082010688552E-6,77224.0,99.8,0.0,50.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,77224.0,2330504.0,10.0,77122.8,158.89045842270704,194372.80000000002,118283.37638888888,22.6,12.438292129995626,6.0,3.9157800414902435,6.0,3.9157800414902435,3.5,2.592724864350674,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,7.344288501,4.26021288147127E-6,115836.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115836.0,2528584.0,10.0,115719.7,347.148719331258,214168.80000000002,143538.02643883452,29.3,21.67461392710119,6.299999999999999,4.270050741306634,6.299999999999999,4.270050741306634,3.7,2.7507574714370344,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,9.430406469,5.948660704709245E-6,154448.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154448.0,3128608.0,10.0,154265.0,369.8702475193161,274128.0,190460.6742914546,39.5,29.62825228280152,8.1,5.646040894093646,8.1,5.646040894093646,4.2,3.155242550986462,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,11.483394674,7.5576251194991045E-6,193060.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193060.0,3029440.0,10.0,192849.80000000002,345.09959914977435,264218.4,216294.72400161158,46.3,38.45357951839826,7.8,6.44291169511977,7.8,6.44291169511977,3.9000000000000004,3.5418137224371984,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,13.52442843,9.212827128874962E-6,231672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231672.0,3134752.0,10.0,231349.5,378.5927891547836,274740.8,224364.38670698163,55.49999999999999,46.212672624628745,8.3,6.912950809089335,8.3,6.912950809089335,4.0,3.6209268304000717,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,15.598896738,1.0979043592708363E-5,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,3291088.0,10.0,269932.7,484.7269678214068,290364.0,243046.33496973827,64.7,55.37357974100404,8.6,7.198765326236314,8.6,7.198765326236314,4.1,3.725288952252936,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,17.650048108,1.2790225900755028E-5,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,3413240.0,10.0,308491.8,522.2704280351321,302572.0,255413.88947527675,73.7,64.95990216194055,8.9,7.534365710971739,8.9,7.534365710971739,4.1,3.725288952252936,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,19.727195543,1.4661393452243156E-5,347508.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,347508.0,3482152.0,10.0,347177.1,455.91481904212856,309458.4,262399.2829001041,82.5,74.89585361613076,9.1,7.738073260042048,9.1,7.738073260042048,4.2,3.794733192202055,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,21.818015787,1.6586695756619595E-5,386120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,386120.0,3559464.0,10.0,385804.0,381.5800483952667,317184.8,266853.8391507814,91.60000000000001,85.17589643398733,9.3,7.874713398664812,9.3,7.874713398664812,4.2,3.794733192202055,0.0,0.0,0.0,0.0,1.0,0.0
424732.0,23.940036126,1.8649757700162843E-5,424732.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,424732.0,3758072.0,10.0,424398.2,424.0154085250519,337030.4,292636.8432561651,101.30000000000001,94.34693659279269,10.0,8.65383665716478,10.0,8.65383665716478,4.4,4.060651288757616,0.0,0.0,0.0,0.0,1.0,0.0
463344.0,26.042787654,2.080426240554086E-5,463344.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,463344.0,3960608.0,10.0,463076.39999999997,441.25155334948903,357270.39999999997,306297.75395962526,110.7,104.17618623168049,10.5,9.058452161134127,10.5,9.058452161134127,4.6,4.168666186896929,0.0,0.0,0.0,0.0,1.0,0.0
501956.0,28.233397169,2.3099587555351246E-5,501956.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,501956.0,4050248.0,10.0,501769.4,352.97661238230427,366227.2,312906.2109694994,119.49999999999999,113.7944052520451,10.8,9.211104409594132,10.8,9.211104409594132,4.7,4.24394994210713,0.0,0.0,0.0,0.0,1.0,0.0
