learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,2.668297675,1.7250691354568116E-6,38612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38612.0,2514344.0,10.0,24981.7,6390.836478896953,213118.4,52641.728144547495,13.4,2.4585451886114367,7.2,1.2292725943057186,7.2,1.2292725943057186,5.199999999999999,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,4.2932178,3.0594247766913745E-6,77224.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77224.0,3174256.0,10.0,56568.7,15714.27588779635,279033.6,59702.1157473595,17.599999999999998,3.4058772731852804,9.299999999999999,1.7029386365926402,9.299999999999999,1.7029386365926402,6.2,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,5.757089991,4.450761911337465E-6,115836.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,115836.0,3673936.0,10.0,85463.0,24679.389273012588,328965.60000000003,63091.89224051605,20.599999999999998,4.087922591134905,10.799999999999999,2.0439612955674527,10.799999999999999,2.0439612955674527,6.800000000000001,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,7.140113332,5.829789976288989E-6,154448.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154448.0,3854304.0,10.0,102682.0,27512.442635610852,346988.0,64130.36625153139,21.799999999999997,4.1311822359545785,11.399999999999999,2.0655911179772892,11.399999999999999,2.0655911179772892,6.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,8.522834718,7.278662657027143E-6,193060.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,193060.0,4050400.0,10.0,136597.89999999997,42567.80217083747,366584.8,64359.23661725297,22.599999999999998,3.977715704047013,11.799999999999999,1.9888578520235065,11.799999999999999,1.9888578520235065,7.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,9.885010156,8.736179977880934E-6,231672.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,231672.0,4136024.0,10.0,175654.1,55509.99030695085,375133.6,87650.59880533238,24.799999999999997,4.565571644870382,12.899999999999999,2.282785822435191,12.899999999999999,2.282785822435191,7.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,11.253346663,1.0364509634139458E-5,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,4599936.0,10.0,196531.8,55732.20022532356,421494.4000000001,121536.3981504215,26.8,6.696599468718765,13.9,3.3482997343593826,13.9,3.3482997343593826,7.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,12.607175208,1.2046308463867916E-5,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,4801896.0,10.0,220857.8,59378.1699500938,441675.19999999995,149114.87116597206,28.200000000000003,9.003702941938204,14.600000000000001,4.501851470969102,14.600000000000001,4.501851470969102,7.599999999999999,1.4298407059684808,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,13.96258756,1.3789502292688568E-5,347508.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,347508.0,4971376.0,10.0,235170.5,65484.86163865152,458612.0,164177.28915887105,29.0,9.843215373488933,15.0,4.9216076867444665,15.0,4.9216076867444665,7.7,1.636391694484477,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,15.331521428,1.5599890126324134E-5,386120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,386120.0,5112008.0,10.0,251805.2,72337.8299567,472667.2,181317.5008460757,29.4,10.189319026422826,15.2,5.094659513211413,15.2,5.094659513211413,7.799999999999999,1.6193277068654819,0.0,0.0,0.0,0.0,1.0,0.0
424732.0,16.709900321,1.7434724487041322E-5,424732.0,99.9,66.62216288384631,75.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,424732.0,5145536.0,10.0,277111.39999999997,76693.79349102797,476012.8,184966.88988320762,30.799999999999997,10.517709932405543,15.9,5.258854966202772,15.9,5.258854966202772,7.8999999999999995,1.5238839267549944,0.0,0.0,0.0,0.0,1.0,0.0
463344.0,18.132482045,1.9427068030220284E-5,463344.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,463344.0,5413640.0,10.0,295439.1,83615.33086761064,502806.4000000001,185295.66645721166,31.799999999999997,10.507140429250958,16.4,5.253570214625479,16.4,5.253570214625479,8.0,1.632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
501956.0,19.60912196,2.155545964411812E-5,501956.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,501956.0,5571592.0,10.0,339857.89999999997,100011.85611321845,518584.80000000005,196017.98848790498,34.0,10.96458946893235,17.5,5.482294734466175,17.5,5.482294734466175,8.0,1.632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
