learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
38612.0,7.07852774,3.353594105246415E-6,38612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38612.0,1847608.0,20.0,20.0,20.0,0.0,100.0,100.0,37.0,1.0,0.8,0.7,1726.4166666666674,6653.031435903101,9235.733333333335,9586.703673487007
77224.0,16.704156154,9.683274265187501E-6,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,2541880.0,20.0,20.0,20.0,0.0,100.0,100.0,75.0,0.772,0.8,0.7,3491.8749999999955,12277.17217568046,15016.266666666677,7688.741868792971
115836.0,27.940267668,1.8400179624644464E-5,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,2998808.0,20.0,20.0,20.0,0.0,100.0,100.0,118.0,0.6364444444444445,0.8,0.7,3901.358333333332,16098.386763372382,18820.66666666667,870.5309239974514
154448.0,39.373852536,2.7295129746008434E-5,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,3007208.0,20.0,20.0,20.0,0.0,100.0,100.0,157.0,0.799,0.8,0.7,6846.633333333337,24997.666099439124,18890.666666666653,952.9338451147921
193060.0,51.1989379,3.650321992155258E-5,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,3010008.0,20.0,20.0,20.0,0.0,100.0,100.0,192.0,1.0,0.8,0.7,8627.0,32390.60662801937,18914.000000000004,977.7387735196431
231672.0,62.506481204,4.5341067656662226E-5,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,3021208.0,20.0,20.0,20.0,0.0,100.0,100.0,235.0,0.6124444444444445,0.8,0.7,6880.683333333336,31022.22791358494,19007.333333333347,1066.4457054051227
270284.0,73.461708783,5.388767831157683E-5,270284.0,99.9,94.06739439962034,87.5,87.5,97.11906888306301,94.11764705882352,99.94957135653051,94.44444444444444,88.88888888888889,100.0,99.94959677419355,100.0,99.8991935483871,270284.0,3015608.0,20.0,20.0,20.0,0.0,100.0,100.0,267.0,0.79,0.8,0.7,8142.316666666672,33926.05765608131,18960.666666666675,1023.575323352919
308896.0,85.423725166,6.316773614910932E-5,308896.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,308896.0,2998808.0,20.0,20.0,20.0,0.0,100.0,100.0,301.0,0.785,0.8,0.7,8590.8,37445.28079152703,18820.666666666657,871.3954165525504
347508.0,96.206058878,7.150917257636006E-5,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,2990408.0,20.0,20.0,20.0,0.0,100.0,100.0,332.0,0.6244444444444445,0.8,0.7,5968.058333333331,33821.91122824111,18750.666666666675,774.0728618923458
386120.0,107.490901048,8.024753425361362E-5,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,2993208.0,20.0,20.0,20.0,0.0,100.0,100.0,358.0,1.0,0.8,0.7,4801.158333333335,21635.45091399832,18773.999999999996,808.9624021345026
