learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),members size
38612.0,1.511592007,1.2462917792893532E-7,38612.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38612.0,328864.0,3.0
77224.0,3.138645668,2.630545949589337E-7,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,328864.0,3.0
115836.0,4.728820396,4.0711634857523357E-7,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,350192.0,4.0
154448.0,6.409876467,5.594114902671012E-7,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,350192.0,4.0
193060.0,8.112430442,7.136542328702286E-7,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,350192.0,4.0
231672.0,9.963540547,8.915690337711945E-7,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,371520.0,5.0
270284.0,11.893716915,1.0770830900603904E-6,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,371520.0,5.0
308896.0,13.828581471,1.2630477397704496E-6,308896.0,99.3,0.0,-Infinity,-Infinity,?,?,99.64877069744105,50.0,0.0,100.0,?,?,99.3,308896.0,371520.0,5.0
347508.0,15.972261388,1.4809100552550868E-6,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,392848.0,6.0
386120.0,18.055932488,1.6811768723926858E-6,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,371520.0,5.0
424732.0,20.033126154,1.8712098782516436E-6,424732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,424732.0,371520.0,5.0
463344.0,21.853936928,2.0361660861998135E-6,463344.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,463344.0,350192.0,4.0
501956.0,23.611965282,2.1954345257774907E-6,501956.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,501956.0,350192.0,4.0
540568.0,25.432410337,2.360357601441803E-6,540568.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,540568.0,350192.0,4.0
579180.0,27.249277474,2.524956535908108E-6,579180.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,579180.0,350192.0,4.0
617792.0,29.092582678,2.69195062496163E-6,617792.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,617792.0,350192.0,4.0
656404.0,30.879041918,2.8537947584060917E-6,656404.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,656404.0,350192.0,4.0
695016.0,32.670802112,3.0161191313585976E-6,695016.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,695016.0,350192.0,4.0
733628.0,34.460470018,3.1782539536453543E-6,733628.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,733628.0,350192.0,4.0
772240.0,36.227213326,3.338311923790848E-6,772240.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,772240.0,350192.0,4.0
810852.0,38.019046914,3.5006429458669745E-6,810852.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,810852.0,350192.0,4.0
849464.0,39.720055599,3.654745693044866E-6,849464.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,849464.0,350192.0,4.0
888076.0,41.436506973,3.8102474694103795E-6,888076.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,888076.0,350192.0,4.0
926688.0,43.142852231,3.964833682996801E-6,926688.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,926688.0,350192.0,4.0
965300.0,44.868824716,4.121198023659736E-6,965300.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,965300.0,350192.0,4.0
1003912.0,46.60518725,4.278503649989424E-6,1003912.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1003912.0,350192.0,4.0
1042524.0,48.33091275,4.434845615065834E-6,1042524.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1042524.0,350192.0,4.0
1081136.0,50.066232901,4.592056806790145E-6,1081136.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1081136.0,350192.0,4.0
1119748.0,51.810893022,4.750114152357321E-6,1119748.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1119748.0,350192.0,4.0
1158360.0,53.452044183,4.898794111886326E-6,1158360.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1158360.0,350192.0,4.0
1196972.0,55.130417576,5.050846216577125E-6,1196972.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1196972.0,350192.0,4.0
1235584.0,56.785547322,5.20079256490776E-6,1235584.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1235584.0,350192.0,4.0
1274196.0,58.471907392,5.353568221969206E-6,1274196.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1274196.0,350192.0,4.0
1312808.0,60.120754108,5.502945359694311E-6,1312808.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1312808.0,350192.0,4.0
1351420.0,61.936051102,5.667402047179813E-6,1351420.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1351420.0,350192.0,4.0
1390032.0,63.77066599,5.8336088377431775E-6,1390032.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1390032.0,350192.0,4.0
1428644.0,65.605521433,5.9998374213677265E-6,1428644.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1428644.0,350192.0,4.0
1467256.0,67.435287575,6.165604940171013E-6,1467256.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1467256.0,350192.0,4.0
1505868.0,69.272014134,6.332003037401478E-6,1505868.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1505868.0,350192.0,4.0
1544480.0,71.053919321,6.493434596774871E-6,1544480.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1544480.0,350192.0,4.0
1583092.0,72.788951123,6.650619665544351E-6,1583092.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1583092.0,350192.0,4.0
1621704.0,74.600982557,6.814780509880131E-6,1621704.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,1621704.0,350192.0,4.0
1660316.0,76.486321154,6.985582610845424E-6,1660316.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1660316.0,350192.0,4.0
1698928.0,78.339060938,7.153431424927272E-6,1698928.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1698928.0,350192.0,4.0
1737540.0,80.220018138,7.323836593578151E-6,1737540.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1737540.0,350192.0,4.0
1776152.0,82.042787057,7.488970199517603E-6,1776152.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1776152.0,350192.0,4.0
1814764.0,83.844299875,7.652178110669441E-6,1814764.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1814764.0,350192.0,4.0
1853376.0,85.65911316,7.816590976576374E-6,1853376.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1853376.0,350192.0,4.0
1891988.0,87.443514976,7.978248717856407E-6,1891988.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1891988.0,350192.0,4.0
1930600.0,89.262276862,8.143019306958393E-6,1930600.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1930600.0,350192.0,4.0
1969212.0,90.908429107,8.263711654096208E-6,1969212.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,1969212.0,283408.0,1.0
2007824.0,92.004237385,8.344847725434067E-6,2007824.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2007824.0,286208.0,1.0
2046436.0,93.141296324,8.429038087053195E-6,2046436.0,99.7,0.0,-Infinity,-Infinity,?,?,99.849774661993,50.0,0.0,100.0,?,?,99.7,2046436.0,286208.0,1.0
2085048.0,94.221392906,8.509010829629E-6,2085048.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2085048.0,286208.0,1.0
2123660.0,95.304203297,8.589184508632318E-6,2123660.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2123660.0,286208.0,1.0
2162272.0,96.380063206,8.66884355855799E-6,2162272.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2162272.0,286208.0,1.0
2200884.0,97.448704942,8.74796815897163E-6,2200884.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2200884.0,286208.0,1.0
2239496.0,98.532455137,8.828211423144106E-6,2239496.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2239496.0,286208.0,1.0
2278108.0,99.733500014,8.917139445296027E-6,2278108.0,96.1,25.509970203987958,-1850.0,-457.1428571428571,72.5721037196447,26.41509433962264,97.99691833590138,57.608695652173914,15.217391304347828,100.0,98.03625377643505,100.0,96.07250755287009,2278108.0,286208.0,1.0
2316720.0,100.824262436,8.99790191028267E-6,2316720.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2316720.0,286208.0,1.0
2355332.0,101.991566569,9.090772373963531E-6,2355332.0,99.9,66.62216288384631,50.0,0.0,85.69589472178515,66.66666666666666,99.949924887331,75.0,50.0,100.0,99.94994994994994,100.0,99.8998998998999,2355332.0,307536.0,2.0
2393944.0,103.27807127,9.193126408984735E-6,2393944.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2393944.0,307536.0,2.0
2432556.0,104.532447808,9.292924334324946E-6,2432556.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2432556.0,307536.0,2.0
2471168.0,105.818180924,9.395216982210874E-6,2471168.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2471168.0,307536.0,2.0
2509780.0,107.099130265,9.497129033995209E-6,2509780.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2509780.0,307536.0,2.0
2548392.0,108.373071921,9.598483555880623E-6,2548392.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2548392.0,307536.0,2.0
2587004.0,109.688541474,9.703142028245652E-6,2587004.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2587004.0,307536.0,2.0
2625616.0,111.108659023,9.816126272478563E-6,2625616.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2625616.0,307536.0,2.0
2664228.0,112.476715673,9.924968562876917E-6,2664228.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2664228.0,307536.0,2.0
2702840.0,113.942709675,1.0041602727761778E-5,2702840.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2702840.0,307536.0,2.0
2741452.0,115.389148798,1.0156681110714054E-5,2741452.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2741452.0,307536.0,2.0
2780064.0,116.7725206,1.0266741871284297E-5,2780064.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2780064.0,307536.0,2.0
2818676.0,118.345400339,1.0408097452423688E-5,2818676.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2818676.0,347392.0,4.0
2857288.0,120.091227119,1.0566260491370624E-5,2857288.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2857288.0,350192.0,4.0
2895900.0,121.868576674,1.0727279333623568E-5,2895900.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2895900.0,350192.0,4.0
2934512.0,123.54869708,1.0879489708818822E-5,2934512.0,99.9,0.0,-Infinity,-Infinity,?,?,99.94997498749373,50.0,0.0,100.0,?,?,99.9,2934512.0,350192.0,4.0
2973124.0,125.253117273,1.1033901521293943E-5,2973124.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,2973124.0,350192.0,4.0
3011736.0,126.93885868,1.1186621130629873E-5,3011736.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3011736.0,350192.0,4.0
3050348.0,128.66586729,1.1343079338955171E-5,3050348.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3050348.0,350192.0,4.0
3088960.0,130.346388608,1.1495326034741332E-5,3088960.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3088960.0,350192.0,4.0
3127572.0,132.069863495,1.165146410571115E-5,3127572.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3127572.0,350192.0,4.0
3166184.0,133.756820282,1.180429382230198E-5,3166184.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3166184.0,350192.0,4.0
3204796.0,135.558446391,1.1967511997042996E-5,3204796.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3204796.0,350192.0,4.0
3243408.0,137.321908204,1.2127272680408703E-5,3243408.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3243408.0,350192.0,4.0
3282020.0,139.105615452,1.2288867497355752E-5,3282020.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3282020.0,350192.0,4.0
3320632.0,140.849902595,1.2425115613532547E-5,3320632.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3320632.0,301936.0,2.0
3359244.0,142.116329064,1.2538012716824185E-5,3359244.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3359244.0,344592.0,4.0
3397856.0,143.715567098,1.2665247747999773E-5,3397856.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3397856.0,307536.0,2.0
3436468.0,145.099661475,1.2790639668529076E-5,3436468.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3436468.0,350192.0,4.0
3475080.0,146.852955192,1.295915309284587E-5,3475080.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3475080.0,371520.0,5.0
3513692.0,148.750246464,1.3141506480684471E-5,3513692.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3513692.0,371520.0,5.0
3552304.0,150.060161435,1.3243825326447201E-5,3552304.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3552304.0,301936.0,2.0
3590916.0,151.458028609,1.3370464992430562E-5,3590916.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3590916.0,350192.0,4.0
3629528.0,152.892800124,1.349940871029803E-5,3629528.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3629528.0,347392.0,4.0
3668140.0,154.533643599,1.3648060795038219E-5,3668140.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3668140.0,350192.0,4.0
3706752.0,156.171767661,1.3796466514772923E-5,3706752.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3706752.0,350192.0,4.0
3745364.0,157.831625859,1.3946841236838227E-5,3745364.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3745364.0,350192.0,4.0
3783976.0,159.60318318,1.4117110021606362E-5,3783976.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3783976.0,371520.0,5.0
3822588.0,161.466884523,1.4285951897258175E-5,3822588.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,3822588.0,350192.0,4.0
3861200.0,163.149047619,1.4447628780496729E-5,3861200.0,99.8,89.90001009998994,-100.0,77.77777777777779,95.1923076923077,90.0,99.8989898989899,90.90909090909092,81.81818181818183,100.0,99.89909182643795,100.0,99.79818365287588,3861200.0,371520.0,5.0
3861201.0,163.16084347,1.4448762509104473E-5,3861201.0,99.8,90.80882352941175,-100.0,80.0,95.60594076808155,90.9090909090909,99.89888776541962,91.66666666666667,83.33333333333334,100.0,99.8989898989899,100.0,99.79797979797979,3861201.0,371520.0,5.0
