learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,3.103622674,1.413627992221146E-6,38612.0,99.9,66.62216288384631,50.0,50.0,85.69589472178515,66.66666666666666,99.949924887331,99.94994994994994,100.0,99.8998998998999,75.0,50.0,100.0,38612.0,1778752.0,10.0,0.0,231515.1,405.2344863025476,136779.2,14511.059726980659,7.800000000000001,1.6865480854231358,4.400000000000001,0.843274042711568,4.400000000000001,0.843274042711568,3.4000000000000004,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,5.338565943,2.7666002725424035E-6,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,2340048.0,10.0,0.0,463265.2,409.8766210025086,192694.40000000002,56293.601995253426,13.0,4.2163702135578385,7.0,2.1081851067789192,7.0,2.1081851067789192,5.400000000000001,0.843274042711568,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,7.458579736,4.286953785670665E-6,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,2772096.0,10.0,0.0,694875.4,939.2270107794911,235708.0,78281.36195942314,13.6,5.501514942874069,7.300000000000001,2.7507574714370344,7.300000000000001,2.7507574714370344,5.400000000000001,0.843274042711568,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,9.513008096,5.761761300182376E-6,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,2774896.0,10.0,0.0,926484.4,851.5173646040334,235988.0,78936.6310347174,13.6,5.501514942874069,7.300000000000001,2.7507574714370344,7.300000000000001,2.7507574714370344,5.400000000000001,0.843274042711568,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,11.522399374,7.210176702535641E-6,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,2786320.0,10.0,0.0,1158028.7,911.5492368002914,236956.8,80483.33566756398,15.0,4.807401700618652,7.999999999999998,2.403700850309326,7.999999999999998,2.403700850309326,6.1,0.5676462121975467,8490.514285714287,13671.026809243249,0.0,0.0,1.001381036989178,0.002223680812288832
231672.0,13.488004637,8.746573207037119E-6,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,3021408.0,10.0,0.0,1389479.5,993.3896236847067,260454.40000000002,70401.80440111838,15.0,4.807401700618652,7.999999999999998,2.403700850309326,7.999999999999998,2.403700850309326,6.1,0.5676462121975467,8490.514285714287,13671.026809243249,0.0,0.0,1.001381036989178,0.002223680812288832
270284.0,15.572427233,1.0375842140470116E-5,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,3021408.0,10.0,0.0,1621086.0,1116.6478605381433,260454.40000000002,70401.80440111838,15.0,4.807401700618652,7.999999999999998,2.403700850309326,7.999999999999998,2.403700850309326,6.1,0.5676462121975467,8490.514285714287,13671.026809243249,0.0,0.0,1.001381036989178,0.002223680812288832
308896.0,17.564908342,1.1931938695123486E-5,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,3018872.0,10.0,0.0,1852621.1,1111.5155269570107,260200.0,69805.30394365938,15.2,5.287301349039561,8.1,2.6436506745197805,8.1,2.6436506745197805,6.1,0.5676462121975467,8490.514285714287,13671.026809243249,0.0,0.0,1.001381036989178,0.002223680812288832
347508.0,19.699669057,1.36348870925931E-5,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,3083576.0,10.0,0.0,2084434.0999999999,1010.334977453834,266500.8,75889.66861144906,15.2,5.287301349039561,8.1,2.6436506745197805,8.1,2.6436506745197805,6.1,0.5676462121975467,14712.009523809522,15541.689382709714,0.0,0.0,1.0022119599816788,0.0023373754205159663
386120.0,21.777174263,1.5428080917408257E-5,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,3336472.0,10.0,0.0,2316121.4,864.5834192771292,291770.4,63188.08304524939,17.0,4.320493798938574,9.0,2.160246899469287,9.0,2.160246899469287,6.200000000000001,0.42163702135578407,14712.009523809522,15541.689382709714,0.0,0.0,1.0022119599816788,0.0023373754205159663
