learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,3.054128948,8.172912877163704E-7,38612.0,24.2,-0.136333372084418,-37799.99999999996,-37799.99999999996,42.52659781688035,0.2631578947368421,38.87096774193549,49.85935149043808,0.13192612137203166,99.58677685950413,37.07414829659319,50.0,24.148296593186373,38612.0,1049656.0,15762.0,14851.206460531526,58315.200000000004,23283.38370216456,3.8,1.6865480854231356,2.4000000000000004,0.8432740427115678,2.4000000000000004,0.8432740427115678,1.4,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,5.622897786,1.3467720389489456E-6,77224.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,77224.0,796760.0,4474.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,8.189662062,2.008623107102749E-6,115836.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,115836.0,996728.0,9885.999999999998,8564.94794691324,53025.600000000006,17137.5344473274,3.4,1.837873166945363,2.2,0.9189365834726815,2.2,0.9189365834726815,1.2,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,10.676737955,2.5623608896511317E-6,154448.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,154448.0,860632.0,16148.0,12592.325705232797,39430.4,13455.280625505777,1.4,0.8432740427115678,1.2000000000000002,0.4216370213557839,1.2000000000000002,0.4216370213557839,0.20000000000000004,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,12.979530718,3.1371013534236822E-6,193060.0,44.0,0.0,-Infinity,-Infinity,?,?,61.111111111111114,50.0,0.0,100.0,?,?,44.0,193060.0,964760.0,17960.0,11758.684733704984,49828.0,17354.98596305332,4.0,1.6996731711975948,2.5,0.8498365855987975,2.5,0.8498365855987975,1.5,0.8498365855987974,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,15.566279527,3.6916595512421363E-6,231672.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,231672.0,828696.0,4622.0,3269.811411483339,36239.200000000004,10091.460469129332,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,17.944502665,4.3279687483267045E-6,270284.0,67.7,0.26677864782747573,-3937.499999999996,-3937.499999999996,51.3769891736208,1.82370820668693,80.67025733093955,50.09910120710776,0.9345794392523363,99.26362297496318,52.721774193548384,37.5,67.94354838709677,270284.0,1034232.0,6734.0,8159.690898285029,56772.00000000001,15638.88725794347,4.0,1.4142135623730951,2.5,0.7071067811865476,2.5,0.7071067811865476,1.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,20.481817126,4.850966048453387E-6,308896.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,308896.0,796760.0,6646.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,22.963204968,5.362435620664672E-6,347508.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,347508.0,796760.0,19258.0,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,25.553056548,5.896261996893576E-6,386120.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,386120.0,796760.0,3869.9999999999995,1513.8251770487457,33048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
