learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,2.790439747,9.898249896803353E-7,38612.0,99.8,0.0,0.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,38612.0,1389152.0,10.0,38537.100000000006,128.80428736825633,100752.8,15019.528597425715,6.0,1.0540925533894598,3.5,0.5270462766947299,3.5,0.5270462766947299,2.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,4.559776739,1.797492853346287E-6,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,1764512.0,10.0,77122.8,158.89045842270704,138260.80000000002,25386.09920934421,8.600000000000001,1.577621275493231,4.800000000000001,0.7888106377466155,4.800000000000001,0.7888106377466155,3.6999999999999993,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,6.129107648,2.5824444137258514E-6,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,1933440.0,10.0,115719.7,347.148719331258,155142.4,45493.241703698266,9.399999999999999,3.0983866769659336,5.199999999999999,1.5491933384829668,5.199999999999999,1.5491933384829668,3.9999999999999996,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,7.727022862,3.394895099272084E-6,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,1965376.0,10.0,154265.0,369.8702475193161,158333.6,48246.78176763019,9.6,3.272783388968954,5.3,1.636391694484477,5.3,1.636391694484477,4.1,1.1972189997378646,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,9.30055371,4.20041876451004E-6,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,1978816.0,10.0,192849.80000000002,345.09959914977435,159677.6,49512.82275038569,9.6,3.272783388968954,5.3,1.636391694484477,5.3,1.636391694484477,4.1,1.1972189997378646,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,10.842580926,5.01842266050526E-6,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,2050528.0,10.0,231349.5,378.5927891547836,166844.0,48967.55283064718,10.0,3.1622776601683795,5.5,1.5811388300841898,5.5,1.5811388300841898,4.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,12.420779033,5.904790867089059E-6,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,2170976.0,10.0,269932.7,484.7269678214068,178879.19999999998,66374.04241753281,10.8,4.263540521418529,5.9,2.1317702607092643,5.9,2.1317702607092643,4.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,13.976427352,6.804650224646472E-6,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,2235968.0,10.0,308491.8,522.2704280351321,185373.6,77856.91848113293,11.2,5.028805910838963,6.1,2.5144029554194813,6.1,2.5144029554194813,4.5,1.5811388300841898,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,15.525032582,7.703576434076123E-6,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,2243808.0,10.0,347177.1,455.91481904212856,186157.6,79466.94389660815,11.2,5.028805910838963,6.1,2.5144029554194813,6.1,2.5144029554194813,4.5,1.5811388300841898,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,17.010322981,8.589419518212404E-6,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,2305408.0,10.0,385804.0,381.5800483952667,192309.6,84672.79180363797,12.4,6.535373831014651,6.7,3.2676869155073254,6.7,3.2676869155073254,4.9,1.9119507199599983,0.0,0.0,0.0,0.0,1.0,0.0
