learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,2.764938975,9.54874350131179E-7,38612.0,99.8,0.0,0.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,38612.0,1355872.0,10.0,34181.3,11288.08726096282,94740.0,25221.475787290656,5.0,1.8856180831641267,3.0,0.9428090415820634,3.0,0.9428090415820634,2.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,4.47326359,1.735677673234594E-6,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,1766744.0,10.0,72767.0,11310.470449003338,135577.6,27534.902631629793,8.0,2.160246899469287,4.5,1.0801234497346435,4.5,1.0801234497346435,3.4,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,6.037009944,2.5167420556102633E-6,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,1930736.0,10.0,111363.90000000001,11277.419675814344,151813.6,48248.37812633936,9.0,3.39934634239519,5.0,1.699673171197595,5.0,1.699673171197595,3.8,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,7.59592346,3.3084495017419613E-6,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,1963112.0,10.0,149909.19999999998,11185.069669479532,155031.19999999998,51054.10330402227,9.399999999999999,3.3730961708462712,5.199999999999999,1.6865480854231356,5.199999999999999,1.6865480854231356,3.9999999999999996,1.247219128924647,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,9.129643621,4.132534272501778E-6,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,2076960.0,10.0,188494.0,11347.384896970756,166258.4,45227.274846539716,9.799999999999997,3.2930904093942583,5.399999999999999,1.6465452046971292,5.399999999999999,1.6465452046971292,4.1,1.1972189997378646,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,10.664940618,4.97521876059004E-6,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,2121656.0,10.0,226993.70000000004,11371.097778041401,170708.0,47701.25480762767,10.200000000000001,3.155242550986462,5.6000000000000005,1.577621275493231,5.6000000000000005,1.577621275493231,4.199999999999999,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,12.223348348,5.8908945914841905E-6,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,2271240.0,10.0,265576.9,11368.850576612107,185654.40000000002,62873.314408508086,11.200000000000001,4.263540521418529,6.1000000000000005,2.1317702607092643,6.1000000000000005,2.1317702607092643,4.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,13.77667779,6.845578015359326E-6,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,2375736.0,10.0,304136.0,11311.188433483803,196097.6,73681.06345474542,11.600000000000001,4.993328882953068,6.300000000000001,2.496664441476534,6.300000000000001,2.496664441476534,4.5,1.6499158227686108,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,15.328825647,7.803020614138007E-6,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,2384416.0,10.0,342821.3,11332.252262654778,196881.6,75256.3016471046,11.600000000000001,4.993328882953068,6.300000000000001,2.496664441476534,6.300000000000001,2.496664441476534,4.5,1.6499158227686108,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,16.951604318,8.712707180421023E-6,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,2166880.0,10.0,311506.7,145772.35447935783,175242.39999999997,74895.45709884177,10.600000000000001,6.168017869984201,5.800000000000001,3.0840089349921005,5.800000000000001,3.0840089349921005,3.9,1.7919573407620815,0.0,0.0,0.0,0.0,1.0,0.0
424732.0,18.533874802,9.613013865868136E-6,424732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,424732.0,2199440.0,10.0,346349.49999999994,153877.57160248462,178424.0,82837.64039774834,12.0,6.879922480183431,6.5,3.4399612400917157,6.5,3.4399612400917157,4.1,1.9692073983655907,0.0,0.0,0.0,0.0,1.0,0.0
463344.0,20.101327907,1.0562379855244533E-5,463344.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,463344.0,2341216.0,10.0,385027.69999999995,153939.6617841982,192556.0,82255.12435506172,13.4,7.042726744663603,7.2,3.5213633723318014,7.2,3.5213633723318014,4.3999999999999995,2.1186998109427604,0.0,0.0,0.0,0.0,1.0,0.0
501956.0,21.718054823,1.1774487167612167E-5,501956.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,501956.0,2898056.0,10.0,423720.7,153789.3303177001,248186.40000000002,89842.64557695675,15.799999999999999,7.671013260609347,8.4,3.8355066303046734,8.4,3.8355066303046734,5.1000000000000005,1.9119507199599979,0.0,0.0,0.0,0.0,1.0,0.0
540568.0,23.358396814,1.304633795618112E-5,540568.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,540568.0,2997120.0,10.0,462310.0,153766.00337525847,258069.6,101536.31446181651,16.2,8.011103405759894,8.600000000000001,4.005551702879947,8.600000000000001,4.005551702879947,5.199999999999999,1.8135294011647258,0.0,0.0,0.0,0.0,1.0,0.0
579180.0,24.99898559,1.4358645806815228E-5,579180.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,579180.0,3091992.0,10.0,500952.8,153569.64529836836,267534.4,105848.6226637939,16.4,8.002777295692066,8.7,4.001388647846033,8.7,4.001388647846033,5.3,1.8287822299126937,0.0,0.0,0.0,0.0,1.0,0.0
617792.0,26.640221479,1.5686691946312993E-5,617792.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,617792.0,3127840.0,10.0,539464.8,153492.45660350146,271116.8,102012.51800833074,16.6,7.7631608682718065,8.8,3.8815804341359033,8.8,3.8815804341359033,5.399999999999999,1.7126976771553508,0.0,0.0,0.0,0.0,1.0,0.0
656404.0,28.232791562,1.6991914727849988E-5,656404.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,656404.0,3168024.0,10.0,578029.5,153555.9951210343,275112.0,103953.02898264516,17.799999999999997,8.230026326405849,9.399999999999999,4.115013163202924,9.399999999999999,4.115013163202924,5.6,1.577621275493231,0.0,0.0,0.0,0.0,1.0,0.0
