learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,2.767555299,8.887517897715048E-7,38612.0,99.8,0.0,0.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,38612.0,1259320.0,10.0,38537.100000000006,128.80428736825633,87328.8,31658.899022058376,5.499999999999999,1.0801234497346437,2.9,1.1005049346146119,2.9,1.1005049346146119,1.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,4.391884878,1.4603083668000066E-6,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,1360152.0,10.0,77122.8,158.89045842270704,97403.2,46420.6922749854,7.9,0.9944289260117531,3.4000000000000004,1.7126976771553504,3.4000000000000004,1.7126976771553504,2.4000000000000004,1.7126976771553504,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,5.859743011,2.0043606174436543E-6,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,1432712.0,10.0,115719.7,347.148719331258,104655.20000000001,52012.84319345239,9.100000000000001,2.024845673131659,3.5,1.8408935028645435,3.5,1.8408935028645435,2.5,1.8408935028645435,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,7.359169691,2.571415483249045E-6,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,1461848.0,10.0,154265.0,369.8702475193161,107566.4,56741.553253325736,10.4,3.687817782917155,3.5999999999999996,2.0110804171997807,3.5999999999999996,2.0110804171997807,2.5999999999999996,2.0110804171997807,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,8.787814222,3.115220386217458E-6,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,1471368.0,10.0,192849.80000000002,345.09959914977435,108518.4,56656.70058872119,11.400000000000002,5.125101625008686,3.5999999999999996,2.0110804171997807,3.5999999999999996,2.0110804171997807,2.5999999999999996,2.0110804171997807,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,10.295633861,3.700964894861438E-6,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,1501624.0,10.0,231349.5,378.5927891547836,111541.6,58540.613311899404,13.6,8.0718991294215,3.6999999999999997,2.057506581601462,3.6999999999999997,2.057506581601462,2.6999999999999997,2.057506581601462,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,11.765681336,4.294193940663855E-6,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,1559888.0,10.0,269932.7,484.7269678214068,117363.2,70705.69963007068,15.299999999999997,10.111050060865752,3.9,2.4698178070456938,3.9,2.4698178070456938,2.6999999999999997,2.057506581601462,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,13.22148429,4.905097274439223E-6,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,1622080.0,10.0,308491.8,522.2704280351321,123577.59999999999,86172.15775566181,16.900000000000002,12.059574342958102,4.1,2.960855732160327,4.1,2.960855732160327,2.9,2.4698178070456938,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,14.636322381,5.501679983237447E-6,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,1629920.0,10.0,347177.1,455.91481904212856,124361.59999999999,88241.78427127241,17.5,12.98075498574717,4.1,2.960855732160327,4.1,2.960855732160327,2.9,2.4698178070456938,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,16.120637535,6.1267966496392206E-6,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,1627936.0,10.0,385804.0,381.5800483952667,124160.8,87643.5732483183,19.7,15.420404952169344,4.4,3.533962208186286,4.4,3.533962208186286,3.0,2.5385910352879693,0.0,0.0,0.0,0.0,1.0,0.0
