learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38612.0,2.23084648,9.735856372533573E-7,38612.0,99.8,0.0,0.0,0.0,?,?,99.8998998998999,?,?,99.8,50.0,0.0,100.0,38612.0,1704960.0,10.0,40848.8,10622.27798125765,132214.4,29858.78248317868,7.6000000000000005,1.3498971154211057,4.3,0.6749485577105528,4.3,0.6749485577105528,3.3000000000000003,0.674948557710553,0.0,0.0,0.0,0.0,1.0,0.0
77224.0,3.338304804,1.4979154938913468E-6,77224.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,77224.0,1830120.0,10.0,52675.7,17013.227775599917,144718.4,22725.347664862882,9.0,2.494438257849294,5.0,1.247219128924647,5.0,1.247219128924647,3.9999999999999996,1.247219128924647,0.0,0.0,0.0,0.0,1.0,0.0
115836.0,4.418435356,2.0361635539141547E-6,115836.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,115836.0,1926232.0,10.0,65692.5,24665.805107701453,154324.8,34053.8763099494,9.0,2.494438257849294,5.0,1.247219128924647,5.0,1.247219128924647,3.9999999999999996,1.247219128924647,0.0,0.0,0.0,0.0,1.0,0.0
154448.0,5.567349887,2.617345451110287E-6,154448.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,154448.0,1955360.0,10.0,84363.59999999999,30597.493721617862,157235.19999999998,39374.86823060844,9.2,2.5733678754158373,5.1,1.2866839377079187,5.1,1.2866839377079187,4.1,1.2866839377079187,0.0,0.0,0.0,0.0,1.0,0.0
193060.0,6.753952357,3.217591906459729E-6,193060.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,193060.0,1955360.0,10.0,106904.2,36195.22847558777,157235.19999999998,39374.86823060844,9.2,2.5733678754158373,5.1,1.2866839377079187,5.1,1.2866839377079187,4.1,1.2866839377079187,0.0,0.0,0.0,0.0,1.0,0.0
231672.0,7.928075395,3.833286000398335E-6,231672.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,231672.0,2027000.0,10.0,145677.8,39984.72566646196,164391.2,40225.022076646106,10.4,1.8973665961010275,5.7,0.9486832980505138,5.7,0.9486832980505138,4.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
270284.0,9.048653389,4.421054868377273E-6,270284.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,270284.0,2027528.0,10.0,166868.9,46694.32971155182,164442.4,40314.822780488845,10.8,2.573367875415838,5.9,1.286683937707919,5.9,1.286683937707919,4.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
308896.0,10.096258479,4.970547773944962E-6,308896.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,308896.0,2027528.0,10.0,183156.90000000002,54579.17270341214,164442.4,40314.822780488845,10.8,2.573367875415838,5.9,1.286683937707919,5.9,1.286683937707919,4.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
347508.0,11.167168228,5.532264507851606E-6,347508.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,347508.0,2027528.0,10.0,203026.19999999998,61917.612877112755,164442.4,40314.822780488845,10.8,2.573367875415838,5.9,1.286683937707919,5.9,1.286683937707919,4.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
386120.0,12.244396599,6.0965910015614194E-6,386120.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,386120.0,2025000.0,10.0,232255.40000000002,69087.6774560172,164188.80000000002,40255.281957913445,11.0,2.82842712474619,6.0,1.414213562373095,6.0,1.414213562373095,4.800000000000001,1.1352924243950937,0.0,0.0,0.0,0.0,1.0,0.0
424732.0,13.355574077,6.688887746297149E-6,424732.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,424732.0,2060432.0,10.0,282319.0,67030.896471536,167722.4,42209.03798740528,13.0,2.82842712474619,7.0,1.414213562373095,7.0,1.414213562373095,4.800000000000001,1.1352924243950937,0.0,0.0,0.0,0.0,1.0,0.0
463344.0,14.354111686,7.2470542416973774E-6,463344.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,463344.0,2160736.0,10.0,298229.0,76690.97694571957,177747.19999999995,57381.90651880897,13.2,3.190262963734773,7.1,1.5951314818673865,7.1,1.5951314818673865,4.800000000000001,1.1352924243950937,0.0,0.0,0.0,0.0,1.0,0.0
501956.0,15.363131001,7.811079842504456E-6,501956.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,501956.0,2160736.0,10.0,310016.19999999995,86248.00676704876,177747.19999999995,57381.90651880897,13.2,3.190262963734773,7.1,1.5951314818673865,7.1,1.5951314818673865,4.800000000000001,1.1352924243950937,0.0,0.0,0.0,0.0,1.0,0.0
